TotalComp,WideIndustry,Company,CEO,CityofBirth,StateofBirth,Age,Undergrad,UGDegree,UGDate,AgeOfUnder,Graduate,GradDegree,MBA?,MasterPhd?,G_date,AgeOfGradu,YearsFirm,YearsCEO,Salary,Bonus,Other,StGains,Compfor5Yrs,StockOwned,Sales,Profits,ReturnOver5Yrs,Industry,IndustryCode,Log 10 Tot Comp,Log 10 Sales
5354910.0,Aerospacedefense,Rockwell Internation,Mr. Donald R Beall,Beaumont,CA,55.0,San Jose State,BS,60.0,21.0,U of Pittsburgh,MBA,1.0,1.0,61.0,22.0,26.0,6.0,815000.0,900000,3639910.0,,15142300.0,0.181,10952.0,583.6,16.0,Aerospacedefense,11.0,6.728752176039614,4.039493435125933
2440490.0,Aerospacedefense,United Technologies,Mr. GeorgeDavid,Bryn Mawr,PA,52.0,Harvard,BA,65.0,23.0,U of Virginia,MBA,1.0,1.0,67.0,25.0,19.0,1.0,770833.0,600000,905529.0,164124,,0.054,20736.0,487.0,10.0,Aerospacedefense,11.0,6.387477032458134,4.316724984190499
9544050.0,Aerospacedefense,AlliedSignal,Mr. Lawrence A Bossidy,Pittsfield,MA,59.0,Colgate U,BA,57.0,22.0,,none,0.0,0.0,,,3.0,3.0,1100000.0,1.5e+006,4128400.0,2.81565e+006,20743300.0,0.063,11827.0,656.0,22.0,Aerospacedefense,11.0,6.979732705878883,4.072874596810989
33689900.0,Aerospacedefense,Loral,Mr. Bernard L Schwartz,New York,NY,68.0,CUNY City,BBA,48.0,22.0,,none,0.0,0.0,,,22.0,22.0,859000.0,3.52567e+006,3316240.0,2.5989e+007,64753300.0,1.728,3562.0,201.4,20.0,Aerospacedefense,11.0,7.527499721889026,3.5516939151272244
4784830.0,Aerospacedefense,Raytheon,Mr. Dennis J Picard,Providence,RI,61.0,Northeastern U,BSE,62.0,29.0,,none,0.0,0.0,,,39.0,3.0,870762.0,870000,2109560.0,934514,10653100.0,0.144,9201.0,693.0,17.0,Aerospacedefense,11.0,6.679866512358743,3.9638350307021475
1368450.0,Aerospacedefense,Sundstrand,Mr. Harry C Stonecipher,Scott County,TN,58.0,Tennessee Tech,BS,60.0,24.0,,none,0.0,0.0,,,7.0,5.0,650000.0,186875,531579.0,,5360480.0,0.609,1383.0,145.7,13.0,Aerospacedefense,11.0,6.136228933919475,3.14082218010931
,Aerospacedefense,Litton Industries,Mr. John M Leonis,Whittier,CA,60.0,U of Arizona,BSE,59.0,25.0,,none,0.0,0.0,,,34.0,1.0,,¥,,,,1e-05,3492.0,-21.2,14.0,Aerospacedefense,11.0,,3.5430742350335316
1924660.0,Aerospacedefense,E-Systems,Mr. A LowellLawson,Macon,GA,56.0,U of Georgia,BS,60.0,22.0,,none,0.0,0.0,,,30.0,1.0,425017.0,345000,367150.0,787495,,0.118,2097.0,121.9,12.0,Aerospacedefense,11.0,6.284354020511793,3.3215984304653436
796635.0,Aerospacedefense,Grumman,Dr. Renso L Caporali,Batavia,NY,61.0,ClarksonU,BCE,54.0,21.0,Princeton,PhD,0.0,1.0,64.0,31.0,35.0,4.0,450000.0,310000,36635.0,,1880140.0,0.122,3225.0,58.8,30.0,Aerospacedefense,11.0,5.901259383134005,3.5085297189712863
1131800.0,Business,Browning-Ferris Indu,Mr. William D Ruckelshaus,Indianapolis,IN,61.0,Princeton,BA,57.0,24.0,Harvard,LLB,0.0,1.0,60.0,27.0,7.0,6.0,828000.0,297500,6304.0,,4988490.0,0.015,3581.0,204.1,-1.0,Business-environmentalwaste,10.0,6.053769689599308,3.554004321011903
1012540.0,Business,Thermo Electron,Dr. George N Hatsopoulos,Greece,,67.0,MIT,BS,49.0,22.0,MIT,PhD,0.0,1.0,56.0,29.0,38.0,38.0,417000.0,450000,10118.0,135420,9870720.0,2.007,1250.0,76.6,23.0,Business-environmentalwaste,10.0,6.00541218886067,3.0969100130080562
1486110.0,Business,WMX Technologies,Mr. Dean L Buntrock,Columbia,SD,62.0,St Olaf C,BA,55.0,23.0,,none,0.0,0.0,,,38.0,26.0,1400000.0,,83919.0,2188,22445800.0,0.577,9136.0,452.8,2.0,Business-environmentalwaste,10.0,6.172050956547665,3.9607560909017723
715623.0,Business,Harsco,Mr. Derek C Hathaway,England,NC,50.0,,,,,,none,0.0,0.0,,,28.0,1.0,270834.0,148282,160469.0,136038,,0.088,1422.0,80.8,17.0,Business-industrial services,10.0,5.854684290269515,3.1528995963937474
474091.0,Business,First Data,Mr. Henry C Duques,Washington,DC,50.0,George Washingt,BS,65.0,21.0,George Washingt,MBA,1.0,1.0,69.0,25.0,7.0,5.0,413061.0,,61030.0,,3435230.0,1e-05,1490.0,173.0,35.0,Business-services,13.0,5.675861710882261,3.1731862684122736
1117850.0,Business,Equifax,Mr. C B Rogers Jr,New York,NY,64.0,Gettysburg C,BA,51.0,21.0,George Washingt,MBA,1.0,1.0,62.0,32.0,7.0,5.0,496184.0,,621670.0,,5342210.0,0.451,1217.0,63.5,15.0,Business-services,13.0,6.04838353115075,3.085290578230065
23136400.0,Business,First Financial Mana,Mr. Patrick H Thomas,Atlanta,GA,51.0,Georgia State U,BS,60.0,17.0,Georgia State U,MS,0.0,1.0,61.0,18.0,23.0,20.0,875000.0,5.41013e+006,13423000.0,3.42828e+006,40027700.0,0.812,1670.0,127.6,28.0,Business-services,13.0,7.364295784098663,3.222716471147583
828219.0,Business,Kelly Services,Mr. Terence E Adderley,Detroit,MI,60.0,U of Michigan,BBA,55.0,21.0,U of Michigan,MBA,1.0,1.0,56.0,22.0,36.0,27.0,540000.0,190000,98219.0,,3341770.0,5.418,1955.0,44.6,4.0,Business-services,13.0,5.918145189340117,3.2911467617318855
8110850.0,Business,Automatic Data Proce,Mr. Josh S Weston,Brooklyn,NY,65.0,CUNY City,BS,50.0,21.0,U of New Zealan,MA,0.0,1.0,52.0,23.0,24.0,11.0,1005000.0,,436600.0,6.66925e+006,19719900.0,0.161,2339.0,310.8,24.0,Business-services,13.0,6.90906636974332,3.369030221809153
2748420.0,Business,Computer Sciences,Mr. William R Hoover,Bingham Canyon,UT,64.0,U of Utah,BS,53.0,23.0,U of Utah,MS,0.0,1.0,54.0,24.0,30.0,22.0,580962.0,440000,592679.0,1.13478e+006,8105350.0,1.059,2502.0,84.2,18.0,Business-services,13.0,6.43908310020144,3.398287305357401
1901450.0,Business,Ogden,Mr. R RichardAblon,New York,NY,44.0,Boston U,BA,71.0,21.0,,none,0.0,0.0,,,23.0,4.0,700000.0,875000,272316.0,54138,9668500.0,0.502,2039.0,62.1,2.0,Business-services,13.0,6.279084909810922,3.3094172257781396
1008510.0,Business,HR Block,Mr. Thomas M Bloch,Kansas City,MO,40.0,Claremont McKen,BA,76.0,22.0,,none,0.0,0.0,,,18.0,2.0,366667.0,254287,27797.0,359754,,0.332,1278.0,189.4,29.0,Business-services,13.0,6.003680208868355,3.106530853822381
1189440.0,Business,PHH,Mr. Robert D Kunisch,Norwalk,CT,52.0,NYU,BBA,63.0,21.0,,none,0.0,0.0,,,28.0,6.0,620000.0,490003,6690.0,72750,4409480.0,0.289,2116.0,63.0,5.0,Business-services,13.0,6.075342539415631,3.3255156633631477
6124100.0,Business,Olsten,Mr. Frank N Liguori,New York,NY,47.0,St Francis C NY,BBA,69.0,22.0,,none,0.0,0.0,,,23.0,4.0,621154.0,500000,5002950.0,,9623310.0,1.613,2158.0,-11.9,24.0,Business-services,13.0,6.787042273648302,3.3340514403468915
2105840.0,Business,Interpublic Group of,Mr. Philip H Geier Jr,Pontiac,MI,59.0,Colgate U,BA,57.0,22.0,Columbia,MBA,1.0,1.0,58.0,23.0,19.0,14.0,965000.0,350000,790840.0,,29805100.0,0.713,1740.0,125.3,20.0,Business-services,13.0,6.323425370763605,3.2405492482825995
2795510.0,Business,Omnicom Group,Mr. BruceCrawford,West Bridgewate,MA,65.0,U of Pennsylvan,BS,52.0,23.0,,none,0.0,0.0,,,5.0,5.0,875000.0,565000,521138.0,834375,8024780.0,0.307,1516.0,85.3,23.0,Business-services,13.0,6.446461050140408,3.1806992012960342
1145140.0,Business,WW Grainger,Mr. David W Grainger,Chicago,IL,66.0,U of Wisc Madis,BSE,50.0,22.0,,none,0.0,0.0,,,42.0,20.0,607000.0,389000,149136.0,,5537630.0,10.233,2628.0,149.3,20.0,Business-services,13.0,6.058858584938495,3.4196253608877427
341057.0,Business,FlightSafety Interna,Mr. Albert L Ueltschi,Frankfort,KY,77.0,,,,,,none,0.0,0.0,,,43.0,43.0,220000.0,118800,2257.0,,1662740.0,35.904,297.0,66.4,4.0,Business-services,13.0,5.532826967604669,2.4727564493172123
1264220.0,Business,Manpower,Mr. Mitchell S Fromstein,Milwaukee,WI,66.0,,,,,,none,0.0,0.0,,,18.0,18.0,860000.0,400463,3758.0,,5954810.0,0.324,3180.0,-48.9,10.0,Business-services,13.0,6.101822656598397,3.5024271199844326
1044280.0,Business,Alco Standard,Mr. John E Stuart,Berkeley,CA,50.0,Pace U NY,BS,80.0,36.0,Pace U NY,MBA,1.0,1.0,80.0,36.0,9.0,1.0,393750.0,350000,100533.0,200000,,0.046,6916.0,6.0,17.0,Business-supplies,13.0,6.018816960496708,3.839854984601885
2229870.0,Business,Xerox,Mr. Paul A Allaire,Worcester,MA,55.0,Worcester Polyt,BSE,60.0,21.0,Carnegie-Mellon,MSIA,0.0,1.0,66.0,27.0,28.0,4.0,763330.0,500000,88551.0,877984,7556470.0,0.034,17334.0,-126.0,15.0,Business-supplies,13.0,6.348279544694637,4.2388987922278405
1935170.0,Business,Avery Dennison,Mr. Charles D Miller,Hartford,CT,66.0,Johns Hopkins U,BA,49.0,21.0,,none,0.0,0.0,,,30.0,16.0,683333.0,555000,195939.0,500901,10303300.0,0.29,2609.0,83.3,7.0,Business-supplies,13.0,6.2867191227497266,3.4164740791002206
1628410.0,Business,Minnesota MiningMa,Mr. Livio D DeSimone,Canada,,57.0,McGill,BSC,57.0,20.0,,none,0.0,0.0,,,37.0,3.0,759600.0,248130,605395.0,15288,5257390.0,0.023,14020.0,1263.0,12.0,Business-supplies,13.0,6.211763760700412,4.146748013630639
945695.0,Business,Comdisco,Mr. Kenneth N Pontikes,Chicago,IL,54.0,Southern Illino,BA,63.0,23.0,,none,0.0,0.0,,,25.0,25.0,500000.0,440605,5090.0,,6589710.0,24.231,2118.0,70.0,-1.0,Business-supplies,13.0,5.97575109287667,3.3259259557714658
2859300.0,Business,Pitney Bowes,Mr. George B Harvey,New Haven,CT,63.0,U of Pennsylvan,BS,54.0,23.0,,none,0.0,0.0,,,37.0,11.0,676667.0,585000,1100010.0,497620,10811500.0,0.199,3543.0,353.2,16.0,Business-supplies,13.0,6.456259724266472,3.549371152333177
1232430.0,Business,Deluxe,Mr. Harold V Haverty,Detroit,MI,64.0,,,,,,none,0.0,0.0,,,40.0,8.0,802500.0,16452,131683.0,281794,4966940.0,0.07,1582.0,141.9,6.0,Business-supplies,13.0,6.090762261436432,3.1992064791616572
8410030.0,Business,Sensormatic Electron,Mr. Ronald G Assaf,Akron,OH,58.0,,,,,,none,0.0,0.0,,,28.0,23.0,415484.0,370000,51046.0,7.5735e+006,11983900.0,0.512,549.0,63.2,38.0,Business-supplies,13.0,6.9247975450025745,2.7395723444500915
1407080.0,Capital goods,Westinghouse Electri,Mr. Michael H Jordan,Kansas City,MO,57.0,Yale,BSC,57.0,20.0,Princeton,MSCE,0.0,1.0,59.0,22.0,1.0,1.0,1000000.0,400000,7075.0,,,0.001,8875.0,-270.0,-11.0,Capital goods-electrical equipment,14.0,6.148318790093491,3.9481683617271313
831340.0,Capital goods,Hubbell,Mr. G J Ratcliffe,Charleston,WV,58.0,Duke U,AB,58.0,22.0,U of Virginia,JD,0.0,1.0,61.0,25.0,20.0,6.0,442900.0,340000,48440.0,,6464150.0,0.361,832.0,66.3,19.0,Capital goods-electrical equipment,14.0,5.919778677123266,2.9201233262907236
9093260.0,Capital goods,Emerson Electric,Mr. Charles F Knight,Lake Forest,IL,58.0,Cornell,BME,58.0,22.0,Cornell,MBA,1.0,1.0,59.0,23.0,21.0,21.0,800000.0,1.1e+006,6196990.0,996275,19707900.0,0.27,8200.0,838.7,18.0,Capital goods-electrical equipment,14.0,6.958719608875802,3.9138138523837163
619372.0,Capital goods,National Service Ind,Mr. D RaymondRiddle,Oglethorpe,GA,60.0,Georgia Tech,BS,55.0,21.0,,none,0.0,0.0,,,1.0,1.0,500000.0,100000,19372.0,,,0.01,1843.0,77.3,5.0,Capital goods-electrical equipment,14.0,5.791951568278834,3.2655253352190736
1374690.0,Capital goods,Honeywell,Mr. Michael R Bonsignore,Plattsburg,NY,53.0,US Naval Acad,BSE,63.0,22.0,,none,0.0,0.0,,,25.0,1.0,552711.0,359657,462321.0,,,0.113,5963.0,322.2,19.0,Capital goods-electrical equipment,14.0,6.13820477346207,3.775464809345739
530000.0,Capital goods,Premier Industrial,Mr. Morton L Mandel,Cleveland,OH,72.0,,,,,,none,0.0,0.0,,,54.0,24.0,520000.0,,10000.0,,2408000.0,19.384,713.0,91.3,15.0,Capital goods-electrical equipment,14.0,5.724275869600788,2.8530895298518653
2010110.0,Capital goods,DeereCo,Mr. Hans W Becherer,Detroit,MI,59.0,Trinity College,BA,57.0,22.0,Harvard,MBA,1.0,1.0,62.0,27.0,32.0,5.0,733805.0,183092,192713.0,900501,5804030.0,0.04,8057.0,308.3,14.0,Capital goods-heavy equipment,14.0,6.303219824129868,3.906173363644048
1518830.0,Capital goods,Tenneco,Mr. Dana G Mead,Cresco,IA,58.0,US Military Aca,BS,57.0,21.0,MIT,PhD,0.0,1.0,67.0,31.0,2.0,1.0,664839.0,700000,153986.0,,,0.038,13255.0,451.0,6.0,Capital goods-heavy equipment,14.0,6.181509166757055,4.122379732069112
1634570.0,Capital goods,Caterpillar,Mr. Donald V Fites,Tippecanoe,IN,60.0,Valparaiso U,BS,56.0,22.0,MIT,MS,0.0,1.0,71.0,37.0,38.0,4.0,670000.0,339024,32160.0,593382,3415780.0,0.023,11615.0,681.0,16.0,Capital goods-heavy equipment,14.0,6.21340352385354,4.065019214136254
1090460.0,Capital goods,Ingersoll-Rand,Mr. James E Perrella,Gloversville,NY,58.0,Purdue U,MSI,61.0,25.0,,none,0.0,0.0,,,32.0,1.0,433333.0,420000,237129.0,,,0.076,4021.0,163.5,18.0,Capital goods-heavy equipment,14.0,6.037609739517757,3.604334073102911
2187170.0,Capital goods,Illinois Tool Works,Mr. John D Nichols,China,,63.0,Harvard,BA,53.0,22.0,Harvard,MBA,1.0,1.0,55.0,24.0,14.0,12.0,600000.0,567600,1019570.0,,16253000.0,0.367,3159.0,206.6,21.0,Capital goods-other industrial equipment,14.0,6.339882540327344,3.4995496259051486
2251800.0,Capital goods,Dover,Mr. Gary L Roubos,Denver,CO,57.0,U of Colorado,BS,59.0,22.0,Harvard,MBA,1.0,1.0,63.0,26.0,24.0,13.0,610000.0,300000,324979.0,1.01682e+006,7290870.0,0.159,2484.0,158.3,20.0,Capital goods-other industrial equipment,14.0,6.352529814796726,3.395151591504542
2626950.0,Capital goods,Cooper Industries,Mr. RobertCizik,Scranton,PA,63.0,U of Connecticu,BA,53.0,22.0,Harvard,MBA,1.0,1.0,58.0,27.0,33.0,19.0,835000.0,400000,1391950.0,,13981100.0,0.222,6274.0,367.1,9.0,Capital goods-other industrial equipment,14.0,6.419451806729447,3.797544514361726
915185.0,Capital goods,Stanley Works,Mr. Richard H Ayers,Newton,MA,51.0,MIT,BS,65.0,22.0,MIT,MS,0.0,1.0,65.0,22.0,22.0,7.0,460000.0,229690,225495.0,,4850340.0,0.114,2273.0,92.6,8.0,Capital goods-other industrial equipment,14.0,5.961508893364798,3.3565994357249704
925492.0,Capital goods,EGG,Mr. John M Kucharski,Milwaukee,WI,58.0,Marquette U,BS,58.0,22.0,George Washingt,JD,0.0,1.0,65.0,29.0,22.0,7.0,540020.0,,36250.0,349222,3899810.0,0.102,2698.0,79.6,4.0,Capital goods-other industrial equipment,14.0,5.96637266904152,3.431041945335885
737980.0,Capital goods,BriggsStratton,Mr. Frederick P Stratton,Milwaukee,WI,55.0,Yale,BS,61.0,22.0,Stanford U,MBA,1.0,1.0,63.0,24.0,21.0,17.0,476736.0,254577,6667.0,,2592670.0,2.683,1190.0,84.0,31.0,Capital goods-other industrial equipment,14.0,5.868044592165405,3.0755469613925306
2427560.0,Capital goods,Tyco International,Mr. L DennisKozlowski,Irvington,NJ,47.0,Seton Hall C,BA,68.0,21.0,,none,0.0,0.0,,,19.0,2.0,920000.0,,1507560.0,,,0.589,3133.0,79.2,8.0,Capital goods-other industrial equipment,14.0,6.38516997281151,3.495960394881705
2051540.0,Capital goods,York International,Mr. Robert N Pokelwaldt,North Tonawanda,NY,57.0,SUNY Buffalo,BS,60.0,23.0,,none,0.0,0.0,,,11.0,3.0,435000.0,202356,4698.0,1.40949e+006,8392090.0,0.499,2032.0,75.5,15.0,Capital goods-other industrial equipment,14.0,6.312079989063068,3.3079237036118814
579034.0,Capital goods,Parker Hannifin,Mr. Duane E Collins,Holcombe,WI,58.0,U of Wisc Madis,BSM,61.0,25.0,,none,0.0,0.0,,,33.0,1.0,430000.0,134349,14685.0,,,0.066,2492.0,64.5,8.0,Capital goods-other industrial equipment,14.0,5.762704065590747,3.396548037987132
1799560.0,Chemicals,Hercules,Mr. Thomas L Gossage,Nashville,TN,60.0,Georgia Tech,BS,56.0,22.0,Georgia Tech,MS,0.0,1.0,57.0,23.0,6.0,3.0,725834.0,924000,149725.0,,4897470.0,0.596,2773.0,208.4,25.0,Chemicals-diversified,15.0,6.255166331252618,3.4429498695778613
3202030.0,Chemicals,FMC,Mr. Robert N Burt,Lakewood,OH,57.0,Princeton,BS,59.0,22.0,Harvard,MBA,1.0,1.0,64.0,27.0,21.0,3.0,562500.0,313875,44121.0,2.28153e+006,5644160.0,0.207,3754.0,41.0,7.0,Chemicals-diversified,15.0,6.505425396531882,3.5744942682853273
1159420.0,Chemicals,RohmHaas,Mr. J LawrenceWilson,Rosedale,MS,58.0,Vanderbilt U,BE,58.0,22.0,Harvard,MBA,1.0,1.0,63.0,27.0,29.0,6.0,552500.0,86071,520851.0,,5201180.0,0.089,3269.0,126.0,14.0,Chemicals-diversified,15.0,6.064240787681054,3.5144149205803688
1702120.0,Chemicals,Dow Chemical,Mr. Frank P Popoff,Bulgaria,,58.0,Indiana U,BS,57.0,21.0,Indiana U,MBA,1.0,1.0,59.0,23.0,35.0,6.0,890004.0,593750,218365.0,,7727900.0,0.029,18060.0,644.0,4.0,Chemicals-diversified,15.0,6.23099017472666,4.256717745977487
911699.0,Chemicals,PPG Industries,Mr. Jerry E Dempsey,Landrum,SC,61.0,Clemson U,BSM,54.0,21.0,Georgia State U,MBA,1.0,1.0,68.0,35.0,1.0,1.0,250000.0,312000,349699.0,,,0.005,5754.0,295.0,15.0,Chemicals-diversified,15.0,5.959851478442557,3.759969857554307
3049780.0,Chemicals,Union Carbide,Mr. Robert D Kennedy,Pittsburgh,PA,61.0,Cornell,BSM,55.0,22.0,,none,0.0,0.0,,,39.0,8.0,815000.0,590000,107829.0,1.53695e+006,9543830.0,0.148,4640.0,165.0,14.0,Chemicals-diversified,15.0,6.484268512057585,3.6665179805548807
816573.0,Chemicals,Olin,Mr. John W Johnstone Jr,Brooklyn,NY,61.0,Hartwick C,BA,54.0,21.0,,none,0.0,0.0,,,15.0,7.0,600000.0,140000,76573.0,,4717150.0,0.23,2423.0,-92.0,3.0,Chemicals-diversified,15.0,5.911995015870019,3.384353414137506
2684250.0,Chemicals,EI du Pont de Nemour,Mr. Edgar S Woolard Jr,Washington,NC,60.0,NC State U,BS,56.0,22.0,,none,0.0,0.0,,,36.0,5.0,792000.0,450000,7005.0,1.43524e+006,11100300.0,0.069,32621.0,566.0,13.0,Chemicals-diversified,15.0,6.428822961781703,4.513497270248866
6680930.0,Chemicals,Monsanto,Mr. Richard J Mahoney,Springfield,MA,60.0,U of Massachuse,BS,55.0,21.0,,none,0.0,0.0,,,32.0,11.0,900000.0,1.188e+006,1358380.0,3.23455e+006,14389900.0,0.124,7902.0,494.0,14.0,Chemicals-diversified,15.0,6.824836921420966,3.897737025345427
1662400.0,Chemicals,BF Goodrich,Mr. John D Ong,Uhrichsville,OH,60.0,Ohio State U,BA,54.0,20.0,Harvard,LLB,0.0,1.0,57.0,23.0,33.0,15.0,737000.0,643500,187464.0,94438,7510580.0,0.425,1818.0,128.3,1.0,Chemicals-specialized,15.0,6.220735530213101,3.259593878885948
1205060.0,Chemicals,Air ProductsChemic,Mr. Harold A Wagner,Oakland,CA,58.0,Stanford U,BSM,58.0,22.0,Harvard,MBA,1.0,1.0,63.0,27.0,31.0,2.0,569231.0,256000,91992.0,287838,2563680.0,0.041,3342.0,207.0,19.0,Chemicals-specialized,15.0,6.081008670994038,3.5240064455573723
865984.0,Chemicals,Eastman Chemical,Mr. Earnest W Deavenport,Macon,MS,56.0,Mississippi Sta,BS,60.0,22.0,MIT,MS,0.0,1.0,85.0,47.0,34.0,1.0,500000.0,276028,50118.0,39838,,0.001,3903.0,247.0,,Chemicals-specialized,15.0,5.937509868026696,3.5913985512812485
3351880.0,Chemicals,International Flavor,Mr. Eugene P Grisanti,Buffalo,NY,64.0,Boston U,LLB,53.0,23.0,Harvard,LLM,0.0,1.0,54.0,24.0,34.0,9.0,700000.0,350000,2301880.0,,11978400.0,1.395,1189.0,202.5,20.0,Chemicals-specialized,15.0,6.525288462144783,3.075181854618691
992927.0,Chemicals,Praxair,Mr. H WilliamLichtenber,Yugoslavia,,59.0,U of Iowa,BA,57.0,22.0,SUNY Buffalo,MBA,1.0,1.0,62.0,27.0,35.0,2.0,546700.0,350000,96227.0,,,0.13,2438.0,143.0,6.0,Chemicals-specialized,15.0,5.996917320335692,3.3870337012823626
3059790.0,Chemicals,Lubrizol,Dr. Lester E Coleman,Akron,OH,63.0,U of Akron,BS,52.0,21.0,U of Illinois,PhD,0.0,1.0,55.0,24.0,39.0,16.0,652713.0,253310,83745.0,2.07002e+006,8391160.0,0.352,1526.0,85.0,17.0,Chemicals-specialized,15.0,6.485691620935561,3.1835545336188615
2113310.0,Chemicals,Lyondell Petrochemic,Dr. Bob G Gower,West Frankfort,IL,56.0,Southern Illino,BA,58.0,20.0,U of Minnesota,PhD,0.0,1.0,63.0,25.0,31.0,6.0,555099.0,460000,1098210.0,,7135840.0,0.069,3850.0,4.0,5.0,Chemicals-specialized,15.0,6.324963208086114,3.5854607295085
833152.0,Chemicals,Nalco Chemical,Mr. Edward J Mooney,Omar,WV,53.0,U of Texas Aust,BS,64.0,23.0,U of Texas Aust,JD,0.0,1.0,67.0,26.0,25.0,1.0,390000.0,176982,266170.0,,,0.057,1389.0,152.7,16.0,Chemicals-specialized,15.0,5.920724241189751,3.1427022457376155
1359730.0,Chemicals,Sigma-Aldrich,Mr. Carl T Cori,St Louis,MO,57.0,U of Wisc Madis,BS,59.0,22.0,Washington U,PhD,0.0,1.0,69.0,32.0,24.0,11.0,600000.0,299721,460008.0,,6364670.0,0.259,739.0,107.2,18.0,Chemicals-specialized,15.0,6.133452679582433,2.8686444383948255
903494.0,Chemicals,Morton International,Mr. S. JayStewart,Pineville,WV,55.0,U of Cincinnati,BS,61.0,22.0,West Virginia U,MBA,1.0,1.0,66.0,27.0,21.0,1.0,455000.0,434844,13650.0,,,0.033,2537.0,154.4,23.0,Chemicals-specialized,15.0,5.955925272806697,3.4043204672217304
3151000.0,Chemicals,Sherwin-Williams,Mr. John G Breen,Cleveland,OH,59.0,John Carroll U,BS,56.0,21.0,Case Western,MBA,1.0,1.0,61.0,26.0,15.0,15.0,722800.0,560000,1392900.0,475295,10275900.0,0.583,2949.0,165.2,21.0,Chemicals-specialized,15.0,6.498448403173999,3.4696747725517976
2793820.0,Chemicals,WR Grace,Mr. J P Bolduc,Lewiston,ME,54.0,St Cloud State,BA,61.0,21.0,,none,0.0,0.0,,,11.0,1.0,800000.0,986000,1007820.0,,,0.296,4408.0,26.0,11.0,Chemicals-specialized,15.0,6.446198421991136,3.6442415858437283
