Company,CEO,CityofBirth,StateofBirth,Age,Undergrad,UGDegree,UGDate,AgeOfUnder,Graduate,GradDegree,MBA?,MasterPhd?,G_Date,AgeOfGradu,YearsFirm,YearsCEO,Salary,Bonus,Other,StGains,TotalComp,Compfor5Yrs,StockOwned,Sales,Profits,ReturnOver5Yrs,Industry,Industry Code,WideIndustry,Log10TotalComp
Itel,Mr. Rod F Dammeyer,Cleveland,OH,53.0,Kent State U,BA,60.0,19.0,,none,0.0,0.0,,,9.0,1.0,685750.0,675000,99324.0,4.34531e+006,5805380.0,,0.147,1909.0,14.8,4.0,Computerscommunications-major systems,16.0,ComputersComm,6.763830652412542
AST Research,Mr. Safi U Qureshey,Pakistan,,42.0,U of Texas Aust,BSE,75.0,23.0,,none,0.0,0.0,,,14.0,6.0,543700.0,514298,981665.0,,2039660.0,9899090.0,8.452,1971.0,-49.8,44.0,Computerscommunications-major systems,16.0,ComputersComm,6.30955777897971
Apple Computer,Mr. Michael H Spindler,Germany,,52.0,,,,,,none,0.0,0.0,,,14.0,1.0,696847.0,302240,,1.15827e+006,2157360.0,,1e-05,8446.0,-34.7,,Computerscommunications-major systems,16.0,ComputersComm,6.333922622139162
Dell Computer,Mr. Michael S Dell,Houston,TX,29.0,,,,,,none,0.0,0.0,,,10.0,10.0,337019.0,202364,11600.0,,550983.0,2424350.0,32.568,2873.0,-35.8,40.0,Computerscommunications-major systems,16.0,ComputersComm,5.741138199359791
Gateway 2000,Mr. TheodoreWaitt,Sioux City,IA,31.0,,,,,,none,0.0,0.0,,,9.0,9.0,537601.0,,7502.0,,545103.0,1711200.0,46.096,1732.0,100.1,16.0,Computerscommunications-major systems,16.0,ComputersComm,5.7364785721943825
General Instrument,Mr. Daniel F Akerson,Oakland,CA,45.0,US Naval Acad,BS,70.0,21.0,London Sch Econ,MS,0.0,1.0,78.0,29.0,1.0,1.0,800000.0,560000,72454.0,,1432450.0,,1e-05,1393.0,90.4,98.0,Computerscommunications-peripherals,16.0,ComputersComm,6.156079471754213
EMC,Mr. Michael C Ruettgers,Muskogee,OK,51.0,Idaho State,BBA,64.0,21.0,Harvard,MBA,1.0,1.0,67.0,24.0,6.0,2.0,225000.0,525000,2000.0,7.32392e+006,8075920.0,,0.127,783.0,127.1,102.0,Computerscommunications-peripherals,16.0,ComputersComm,6.907192008175188
Texas Instruments,Mr. Jerry R Junkins,Fort Madison,IA,56.0,Iowa State,BS,59.0,21.0,SMU,MS,0.0,1.0,68.0,30.0,35.0,9.0,691850.0,740000,412048.0,921800,2765700.0,6003780.0,0.051,8523.0,476.0,16.0,Computerscommunications-peripherals,16.0,ComputersComm,6.441805069695703
Arrow Electronics,Mr. Stephen P Kaufman,Cambridge,MA,52.0,MIT,BS,63.0,21.0,Harvard,MBA,1.0,1.0,65.0,23.0,12.0,8.0,504000.0,635644,220447.0,1.51797e+006,2878060.0,8435810.0,3.4,2536.0,81.6,45.0,Computerscommunications-peripherals,16.0,ComputersComm,6.459099843595477
Cisco Systems,Mr. John P Morgridge,Elmhurst,IL,60.0,U of Wisc Madis,BBA,55.0,21.0,Stanford U,MBA,1.0,1.0,57.0,23.0,6.0,6.0,187212.0,172092,1000.0,,360304.0,1168990.0,2.367,928.0,241.0,117.0,Computerscommunications-peripherals,16.0,ComputersComm,5.556669083572151
3Com,Mr. EricBenhamou,France,,38.0,,,,,Stanford U,MS,0.0,1.0,77.0,21.0,7.0,4.0,375000.0,22966,526528.0,523125,1447620.0,2198710.0,0.343,753.0,-42.6,17.0,Computerscommunications-peripherals,16.0,ComputersComm,6.160654574594794
Micron Technology,Mr. Joseph L Parkinson,San Antonio,TX,48.0,Columbia,BA,67.0,21.0,Tulane U,JD,0.0,1.0,71.0,25.0,14.0,8.0,331731.0,499178,5192.0,1.14764e+006,1983740.0,6387330.0,0.084,1231.0,246.6,34.0,Computerscommunications-peripherals,16.0,ComputersComm,6.297484750497238
Intel,Dr. Andrew S Grove,Hungary,,57.0,CUNY City,BS,60.0,23.0,U of Cal Berkel,PhD,0.0,1.0,63.0,26.0,26.0,7.0,360000.0,1.8237e+006,172500.0,,2356200.0,11387600.0,0.11,8782.0,2295.3,39.0,Computerscommunications-peripherals,16.0,ComputersComm,6.372212151654061
Quantum,Mr. William J Miller,Fargo,ND,48.0,U of Minnesota,BS,67.0,21.0,U of Minnesota,JD,0.0,1.0,70.0,24.0,2.0,2.0,400058.0,536610,,,936668.0,,0.33,2003.0,-9.6,35.0,Computerscommunications-peripherals,16.0,ComputersComm,5.9715856833977625
American Power Conve,Mr. Rodger B Dowdell Jr.,Providence,RI,45.0,Brown,BSE,71.0,22.0,U of Rhode Isla,MSEE,0.0,1.0,75.0,26.0,9.0,9.0,370000.0,400000,30144.0,,800144.0,2810550.0,10.841,250.0,48.6,120.0,Computerscommunications-peripherals,16.0,ComputersComm,5.90316815296396
Applied Materials,Mr. James C Morgan,Danville,IL,55.0,Cornell,BS,62.0,23.0,Cornell,MBA,1.0,1.0,63.0,24.0,18.0,17.0,485000.0,388000,641069.0,1.13238e+007,12837900.0,22301000.0,0.556,1205.0,122.4,50.0,Computerscommunications-peripherals,16.0,ComputersComm,7.108493988452377
Motorola,Mr. Gary L Tooker,Shelby,OH,54.0,Arizona State,BSE,62.0,22.0,,none,0.0,0.0,,,32.0,1.0,770000.0,847000,14100.0,4.7676e+006,6398700.0,,0.028,16963.0,1022.0,39.0,Computerscommunications-peripherals,16.0,ComputersComm,6.806091748956593
National Semiconduct,Dr. Gilbert F Amelio,New York,NY,51.0,Georgia Tech,BS,65.0,22.0,Georgia Tech,PhD,0.0,1.0,68.0,25.0,3.0,3.0,569039.0,792000,562064.0,,1923100.0,4006840.0,0.008,2244.0,222.9,23.0,Computerscommunications-peripherals,16.0,ComputersComm,6.284001867867715
AMP,Mr. William J Hudson Jr,Chicago,IL,60.0,Cornell,BS,57.0,23.0,,none,0.0,0.0,,,32.0,1.0,533333.0,196747,113546.0,16644,860270.0,,0.012,3451.0,296.7,10.0,Computerscommunications-peripherals,16.0,ComputersComm,5.934634778112113
Molex,Mr. Frederick A Krehbiel,Hinsdale,IL,52.0,Lake Forest C,BA,63.0,21.0,,none,0.0,0.0,,,29.0,6.0,350444.0,50000,94537.0,77760,572741.0,2686170.0,11.875,900.0,82.6,22.0,Computerscommunications-peripherals,16.0,ComputersComm,5.757958273451052
Wellfleet Communicat,Mr. Paul J Severino,Paterson,NJ,47.0,Rensselaer,BSE,69.0,22.0,,none,0.0,0.0,,,8.0,8.0,134808.0,156095,,,290903.0,698584.0,3.691,267.0,42.2,99.0,Computerscommunications-peripherals,16.0,ComputersComm,5.463748200025772
Conner Peripherals,Mr. Finis F Conner,Gadsden,AL,50.0,San Jose State,BS,69.0,25.0,,none,0.0,0.0,,,9.0,9.0,615632.0,,4826.0,,620458.0,5422750.0,2.662,2152.0,-445.3,17.0,Computerscommunications-peripherals,16.0,ComputersComm,5.7927123885977
Advanced Micro Devic,Mr. Walter J Sanders III,Chicago,IL,57.0,U of Illinois,BSE,58.0,21.0,,none,0.0,0.0,,,25.0,25.0,929000.0,2.08142e+006,1415880.0,8.27642e+006,12702700.0,41334500.0,0.385,1648.0,228.8,30.0,Computerscommunications-peripherals,16.0,ComputersComm,7.103896041465632
Cabletron Systems,Mr. S RobertLevine,Worcester,MA,36.0,U of Miami,BS,80.0,22.0,,none,0.0,0.0,,,11.0,11.0,52000.0,,,,52000.0,208000.0,20.238,553.0,110.1,48.0,Computerscommunications-peripherals,16.0,ComputersComm,4.7160033436347994
Seagate Technology,Mr. Alan F Shugart,Los Angeles,CA,63.0,U of Redlands,BS,53.0,22.0,,none,0.0,0.0,,,15.0,15.0,550000.0,411000,1679690.0,991250,3631940.0,9677880.0,0.482,3114.0,151.3,15.0,Computerscommunications-peripherals,16.0,ComputersComm,6.560138665321474
Merisel,Mr. Michael D Pickett,Long Beach,CA,46.0,USC,BBA,69.0,21.0,,none,0.0,0.0,,,11.0,6.0,487629.0,282125,45000.0,,814754.0,4921880.0,0.101,3086.0,30.4,24.0,Computerscommunications-peripherals,16.0,ComputersComm,5.911026501292645
Avnet,Mr. LeonMachiz,Brooklyn,NY,69.0,,,,,,none,0.0,0.0,,,42.0,5.0,1000000.0,,107839.0,,1107840.0,5719580.0,0.153,2906.0,70.4,13.0,Computerscommunications-peripherals,16.0,ComputersComm,6.044477041859281
International Game T,Mr. John J Russell,Oklahoma City,OK,64.0,,,,,,none,0.0,0.0,,,8.0,1.0,275000.0,323750,74294.0,8.24736e+006,8920400.0,,0.161,532.0,113.9,80.0,Computerscommunications-peripherals,16.0,ComputersComm,6.95038432902835
Lotus Development,Mr. Jim P Manzi,New York,NY,42.0,Colgate U,BA,73.0,21.0,Tufts U,MA,0.0,1.0,79.0,27.0,11.0,8.0,650000.0,650000,35046.0,1.42016e+006,2755200.0,29016600.0,2.683,981.0,55.5,29.0,Computerscommunications-software,16.0,ComputersComm,6.44015312977356
Sybase,Mr. Mark B Hoffman,Windom,MN,47.0,US Military Aca,BS,69.0,22.0,U of Arizona,MBA,1.0,1.0,79.0,32.0,10.0,10.0,303372.0,425000,1087.0,2.02675e+006,2756210.0,3857120.0,2.08,427.0,44.1,86.0,Computerscommunications-software,16.0,ComputersComm,6.4403123040798205
Computer Associates,Mr. Charles B Wang,China,,49.0,CUNY Queens,BS,67.0,22.0,,none,0.0,0.0,,,18.0,18.0,1000000.0,2.7e+006,19271.0,,3719270.0,12402200.0,4.141,2055.0,341.6,13.0,Computerscommunications-software,16.0,ComputersComm,6.5704577070639445
BMC Software,Mr. Max P Watson Jr,New Orleans,LA,48.0,Louisiana Tech,BBA,68.0,22.0,,none,0.0,0.0,,,9.0,4.0,240000.0,621075,982500.0,3.89563e+006,5739200.0,11823600.0,0.698,274.0,81.2,41.0,Computerscommunications-software,16.0,ComputersComm,6.758851359331891
Novell,Mr. Robert J Frankenberg,Chippewa Falls,WI,47.0,San Jose State,BS,74.0,27.0,,none,0.0,0.0,,,1.0,1.0,,,,,,,1e-05,1174.0,-33.2,37.0,Computerscommunications-software,16.0,ComputersComm,
Parametric Technolog,Mr. Steven C Walske,Los Alamos,NM,41.0,Princeton,BA,74.0,21.0,Harvard,MBA,1.0,1.0,78.0,25.0,7.0,7.0,250000.0,400000,4497.0,1.03128e+007,10967200.0,26817900.0,1.979,184.0,49.3,62.0,Computerscommunications-software,16.0,ComputersComm,7.040095763421043
Microsoft,Mr. William H Gates,Seattle,WA,38.0,,,,,,none,0.0,0.0,,,19.0,13.0,266660.0,151580,,,418240.0,1447190.0,27.616,4109.0,1036.0,50.0,Computerscommunications-software,16.0,ComputersComm,5.62142556590045
Oracle Systems,Mr. Lawrence J Ellison,New York,NY,49.0,,,,,,none,0.0,0.0,,,17.0,17.0,1000000.0,1.15e+006,432.0,,2150430.0,7484560.0,22.518,1693.0,197.8,40.0,Computerscommunications-software,16.0,ComputersComm,6.332525310127254
MFS Communications,Mr. James Q Crowe,Camp Pendleton,CA,44.0,Rensselaer,BSM,72.0,22.0,Pepperdine U,MBA,1.0,1.0,82.0,32.0,8.0,3.0,270250.0,175000,,227500,672750.0,,1e-05,141.0,-15.8,8.0,Computerscommunications-telecommun,16.0,ComputersComm,5.827853706435792
Citizens Utilities,Dr. LeonardTow,Brooklyn,NY,66.0,CUNY Brooklyn,BA,50.0,22.0,Columbia,PhD,0.0,1.0,60.0,32.0,4.0,4.0,1003000.0,485000,3921690.0,,5409690.0,21969500.0,1.94,619.0,125.6,6.0,Computerscommunications-telecommun,16.0,ComputersComm,6.733172378757806
GTE,Mr. Charles R Lee,Pittsburgh,PA,54.0,Cornell,BA,62.0,22.0,Harvard,MBA,1.0,1.0,64.0,24.0,11.0,2.0,728846.0,1.0168e+006,214167.0,335488,2295300.0,6362590.0,0.006,19748.0,990.0,12.0,Computerscommunications-telecommun,16.0,ComputersComm,6.360839456683622
DSC Communications,Mr. James L Donald,Carthage,TX,62.0,SMU,BSI,57.0,25.0,SMU,MSIE,0.0,1.0,65.0,33.0,13.0,13.0,687682.0,1.46e+006,3158260.0,,5305940.0,11804700.0,0.263,731.0,81.7,38.0,Computerscommunications-telecommun,16.0,ComputersComm,6.724762334636841
Sprint,Mr. William T Esrey,Philadelphia,PA,54.0,Denison U,BA,61.0,21.0,Harvard,MBA,1.0,1.0,64.0,24.0,14.0,9.0,802084.0,817825,448104.0,528981,2596990.0,12392800.0,0.063,11368.0,468.3,8.0,Computerscommunications-telecommun,16.0,ComputersComm,6.414470277333122
Bell Atlantic,Mr. Raymond W Smith,Pittsburgh,PA,56.0,Carnegie-Mellon,BS,59.0,21.0,U of Pittsburgh,MBA,1.0,1.0,67.0,29.0,35.0,5.0,808900.0,880700,773200.0,,2462800.0,12752200.0,0.027,12990.0,1481.6,12.0,Computerscommunications-telecommun,16.0,ComputersComm,6.391429144919444
Ameritech,Mr. Richard C Notebaert,Canada,,46.0,U of Wisc Madis,BA,69.0,21.0,U of Wisc Milwa,MBA,1.0,1.0,83.0,35.0,25.0,1.0,447204.0,351000,330212.0,,1128420.0,,0.007,11710.0,1512.8,14.0,Computerscommunications-telecommun,16.0,ComputersComm,6.0524707749422655
Nynex,Mr. William C Ferguson,Detroit,MI,63.0,Albion C,AB,52.0,21.0,,none,0.0,0.0,,,42.0,5.0,773000.0,562000,255722.0,308176,1898900.0,8049240.0,0.017,13408.0,-272.4,6.0,Computerscommunications-telecommun,16.0,ComputersComm,6.2785020944938825
Pacific Telesis Grou,Mr. SamGinn,St Clair,AL,57.0,Auburn U,BS,59.0,22.0,,none,0.0,0.0,,,34.0,6.0,743542.0,793200,802765.0,,2339510.0,10510000.0,0.005,9244.0,191.0,14.0,Computerscommunications-telecommun,16.0,ComputersComm,6.369124905880213
US West,Mr. Richard D McCormick,Fort Dodge,IA,53.0,Iowa State,BSE,61.0,20.0,,none,0.0,0.0,,,9.0,3.0,700000.0,575000,1098460.0,344860,2718320.0,9265650.0,0.034,10294.0,394.4,11.0,Computerscommunications-telecommun,16.0,ComputersComm,6.43430058045162
MCI Communications,Mr. Bert C Roberts Jr,Kansas City,MO,51.0,Johns Hopkins U,BS,65.0,22.0,,none,0.0,0.0,,,22.0,2.0,800000.0,900000,496906.0,,2196910.0,6587730.0,0.075,11921.0,627.0,11.0,Computerscommunications-telecommun,16.0,ComputersComm,6.341812265703405
LDDS Communications,Mr. BernardEbbers,Canada,,52.0,Mississippi C,BA,67.0,25.0,,none,0.0,0.0,,,9.0,9.0,300000.0,500000,12478.0,,812478.0,2324150.0,7.292,1145.0,104.2,100.0,Computerscommunications-telecommun,16.0,ComputersComm,5.909811610133427
BellSouth,Mr. John L Clendenin,El Paso,TX,60.0,Northwestern U,BA,55.0,21.0,,none,0.0,0.0,,,39.0,10.0,785000.0,705500,463900.0,,1954400.0,10421200.0,0.009,15880.0,1034.1,12.0,Computerscommunications-telecommun,16.0,ComputersComm,6.29101345396538
Corning,Mr. James R Houghton,Corning,NY,58.0,Harvard,AB,58.0,22.0,Harvard,MBA,1.0,1.0,62.0,26.0,32.0,11.0,672500.0,481618,221458.0,,1375580.0,10103000.0,0.639,4005.0,-15.2,16.0,Computerscommunications-telecommun,16.0,ComputersComm,6.138485852848739
McCaw Cellular Commu,Mr. Craig O McCaw,Centralia,WA,44.0,Stanford U,BA,73.0,23.0,,none,0.0,0.0,,,28.0,21.0,100000.0,,2308.0,,102308.0,52833100.0,6.705,2195.0,-227.3,5.0,Computerscommunications-telecommun,16.0,ComputersComm,5.009909594807103
Southwestern Bell,Mr. Edward E Whitacre Jr,Ennis,TX,52.0,Texas Tech U,BSI,64.0,22.0,,none,0.0,0.0,,,31.0,4.0,762000.0,1.124e+006,2550690.0,,4436690.0,13644700.0,0.035,10690.0,1435.2,18.0,Computerscommunications-telecommun,16.0,ComputersComm,6.647059084792112
Alltel,Mr. Joe T Ford,Conway,AR,56.0,U of Arkansas,BS,59.0,21.0,,none,0.0,0.0,,,35.0,7.0,575000.0,429813,554935.0,231290,1791040.0,6587030.0,0.264,2342.0,262.0,17.0,Computerscommunications-telecommun,16.0,ComputersComm,6.253105285226636
TelephoneData Syst,Mr. LeRoy T Carlson Jr,Chicago,IL,47.0,Harvard,BA,68.0,21.0,Harvard,MBA,1.0,1.0,71.0,24.0,20.0,8.0,316000.0,56250,15461.0,310703,698414.0,1941930.0,2.032,591.0,33.9,2.0,Computerscommunications-telecommun,16.0,ComputersComm,5.844112936398841
Southern New England,Mr. Daniel J Miglio,Philadelphia,PA,53.0,U of Penn-Whart,BS,62.0,21.0,,none,0.0,0.0,,,32.0,1.0,400934.0,180000,23840.0,,604774.0,,0.008,1654.0,-53.9,3.0,Computerscommunications-telecommun,16.0,ComputersComm,5.781593112024819
ATT,Mr. Robert E Allen,Joplin,MO,59.0,Wabash C,BA,57.0,22.0,,none,0.0,0.0,,,37.0,6.0,1032000.0,1.3567e+006,1594710.0,,3983410.0,16639100.0,0.01,67156.0,3974.0,14.0,Computerscommunications-telecommun,16.0,ComputersComm,6.600255009289983
Nextel Communication,Mr. Brian D McAuley,,,53.0,,,,,,none,0.0,0.0,,,7.0,7.0,320000.0,200000,439000.0,,959000.0,2241000.0,1.042,62.0,-36.1,57.0,Computerscommunications-telecommun,16.0,ComputersComm,5.981818607170663
Sunbeam-Oster,Mr. RogerSchipke,St. Louis,MO,57.0,Washington U,BS,58.0,21.0,NYU,MBA,1.0,1.0,61.0,24.0,1.0,1.0,1000000.0,209589,1121530.0,,2331120.0,,0.225,1066.0,88.8,29.0,Consumer durables-appliances,18.0,Consumer,6.3675646304474
Maytag,Mr. Leonard A Hadley,Earlham,IA,59.0,U of Iowa,BS,58.0,23.0,,none,0.0,0.0,,,35.0,2.0,527675.0,350000,6811.0,,884486.0,2060730.0,0.099,2987.0,51.3,3.0,Consumer durables-appliances,18.0,Consumer,5.946690963112485
Whirlpool,Mr. David R Whitwam,Stanley,WI,52.0,U of Wisc Madis,BS,67.0,25.0,,none,0.0,0.0,,,26.0,7.0,800000.0,1.3e+006,3497530.0,6.25571e+006,11853200.0,18494700.0,0.233,7533.0,231.0,20.0,Consumer durables-appliances,18.0,Consumer,7.073835612348767
BlackDecker,Mr. Nolan D Archibald,Ogden,UT,50.0,Weber State,BS,68.0,24.0,Harvard,MBA,1.0,1.0,70.0,26.0,9.0,8.0,825000.0,650000,177996.0,,1653000.0,8449250.0,0.032,4882.0,95.2,4.0,Consumer durables-appliances,18.0,Consumer,6.218272853571447
General Motors,Mr. John F Smith Jr,Worcester,MA,56.0,U of Massachuse,BBA,60.0,22.0,Boston U,MBA,1.0,1.0,65.0,27.0,33.0,2.0,1375000.0,,20624.0,45305,1440930.0,,0.007,138220.0,2465.8,10.0,Consumer durables-automobilestrucks,18.0,Consumer,6.158642883414858
Ford Motor,Mr. Alexander J Trotman,England,,60.0,Michigan State,MBA,72.0,38.0,,none,0.0,0.0,,,39.0,1.0,716667.0,1e+006,136042.0,1.84875e+006,3701460.0,,0.008,108521.0,2529.0,10.0,Consumer durables-automobilestrucks,18.0,Consumer,6.5683730605200195
Navistar Internation,Mr. James C Cotting,Winchester,MA,60.0,Ohio State U,BA,55.0,21.0,,none,0.0,0.0,,,15.0,7.0,450000.0,,6102.0,,456102.0,2405690.0,0.074,4797.0,-258.9,-18.0,Consumer durables-automobilestrucks,18.0,Consumer,5.659061976619495
Paccar,Mr. Charles M Pigott,Seattle,WA,65.0,Stanford U,BS,51.0,22.0,,none,0.0,0.0,,,38.0,26.0,750000.0,,424551.0,,1174550.0,7317460.0,4.3,3542.0,142.2,7.0,Consumer durables-automobilestrucks,18.0,Consumer,6.069871509203788
Chrysler,Mr. Robert J Eaton,Buena Vista,CO,54.0,U of Kansas,BSM,63.0,23.0,,none,0.0,0.0,,,2.0,1.0,928750.0,1.9e+006,1952760.0,4.47827e+006,9259790.0,,0.029,43600.0,2415.0,21.0,Consumer durables-automobilestrucks,18.0,Consumer,6.9666011375593255
Johnson Controls,Mr. James H Keyes,La Crosse,WI,53.0,Marquette U,BS,62.0,21.0,Northwestern U,MBA,1.0,1.0,63.0,22.0,28.0,6.0,606246.0,523438,208850.0,195000,1533530.0,5965710.0,0.155,6255.0,143.3,13.0,Consumer durables-automotive parts,18.0,Consumer,6.185692276377857
Cummins Engine,Mr. Henry B Schacht,Erie,PA,59.0,Yale,BS,56.0,21.0,Harvard,MBA,1.0,1.0,62.0,27.0,30.0,25.0,600000.0,450000,1630090.0,571359,3251450.0,10467000.0,0.219,4248.0,182.6,11.0,Consumer durables-automotive parts,18.0,Consumer,6.512077079921326
Snap-on,Mr. Robert A Cornog,Philadelphia,PA,54.0,Illinois Tech,BS,61.0,21.0,U of Chicago,MBA,1.0,1.0,66.0,26.0,3.0,3.0,416583.0,386880,2335.0,52391,858189.0,1808220.0,0.04,1132.0,85.8,5.0,Consumer durables-automotive parts,18.0,Consumer,5.933582943580576
Dana,Mr. Southwood J Morcott,Covington,GA,56.0,Davidson C,BA,60.0,22.0,U of Michigan,MBA,1.0,1.0,63.0,25.0,31.0,5.0,761898.0,412500,85668.0,83375,1343440.0,5408340.0,0.112,5588.0,128.5,13.0,Consumer durables-automotive parts,18.0,Consumer,6.1282182749740315
TRW,Mr. Joseph T Gorman,Rising Sun,IN,56.0,Kent State U,BA,60.0,22.0,Yale,LLB,0.0,1.0,62.0,24.0,26.0,5.0,896667.0,661000,2326700.0,,3884360.0,10651900.0,0.09,7948.0,220.0,13.0,Consumer durables-automotive parts,18.0,Consumer,6.589319473236029
Goodyear TireRubbe,Mr. Stanley C Gault,Wooster,OH,68.0,Col of Wooster,BA,48.0,22.0,,none,0.0,0.0,,,3.0,3.0,935000.0,1.01897e+006,36057.0,9.29219e+006,11282200.0,13938800.0,0.068,11643.0,488.7,14.0,Consumer durables-automotive parts,18.0,Consumer,7.052393794212855
Bandag,Mr. Martin G Carver,Davenport,IA,46.0,U of Iowa,BA,70.0,22.0,Indiana U,MBA,1.0,1.0,72.0,24.0,15.0,12.0,299036.0,,102088.0,,401124.0,1750570.0,3.784,591.0,78.1,9.0,Consumer durables-automotive parts,18.0,Consumer,5.603278647411075
Eaton,Mr. William E Butler,Waterloo,IL,63.0,U of Illinois,BS,56.0,25.0,,none,0.0,0.0,,,37.0,3.0,633925.0,634623,401317.0,,1669870.0,3768400.0,0.047,4401.0,180.0,19.0,Consumer durables-automotive parts,18.0,Consumer,6.222682662476781
Cooper TireRubber,Mr. Ivan W Gorr,Toledo,OH,64.0,U of Toledo,BS,51.0,21.0,,none,0.0,0.0,,,22.0,5.0,389780.0,427086,49024.0,238578,1104470.0,3781580.0,0.642,1194.0,102.2,33.0,Consumer durables-automotive parts,18.0,Consumer,6.043153923909218
Echlin,Mr. Frederick J Mancheski,Stevens Point,WI,67.0,U of Wisc Madis,BS,48.0,21.0,,none,0.0,0.0,,,31.0,25.0,550000.0,435000,546819.0,294999,1826820.0,4859830.0,0.916,2037.0,104.0,18.0,Consumer durables-automotive parts,18.0,Consumer,6.2616957576109495
Arvin Industries,Mr. Byron O Pond,Royal Oak,MI,58.0,Wayne State U,BSB,61.0,25.0,,none,0.0,0.0,,,26.0,1.0,438269.0,112347,13301.0,95808,659725.0,,0.036,1939.0,40.3,9.0,Consumer durables-automotive parts,18.0,Consumer,5.819362941798094
Genuine Parts,Mr. Larry L Prince,Dyersburg,TN,55.0,,,,,,none,0.0,0.0,,,36.0,4.0,405000.0,461700,1799.0,66951,935450.0,3771220.0,0.05,4384.0,258.9,11.0,Consumer durables-automotive parts,18.0,Consumer,5.97102057932463
Varity,Mr. Victor A Rice,England,,53.0,,,,,,none,0.0,0.0,,,24.0,14.0,665000.0,903000,185295.0,,1753300.0,5129490.0,0.537,2726.0,76.3,9.0,Consumer durables-automotive parts,18.0,Consumer,6.243856232806506
Premark Internationa,Mr. Warren L Batts,Norfolk,VA,61.0,Georgia Tech,BEE,61.0,28.0,Harvard,MBA,1.0,1.0,63.0,30.0,14.0,8.0,683333.0,910000,591272.0,6.92656e+006,9111170.0,17672600.0,0.927,3097.0,172.5,20.0,Consumer durables-home furnishings,18.0,Consumer,6.95957414996063
