Make/Model,MPG City,Weight(lb),Cargo,Seating,Horsepower,Displacement,HP/Pound,Type,cylinders,origin,length,width,turndiam,headroom,legroom,price,make,model,mpg_hwy,GPM City,GP1000M City
Eagle_Summit,27.0,2271.0,10.3,5.0,81.0,90.0,0.035667107001321,4NB_DL,4.0,1.0,170.1,65.7,30.8,39.1,41.9,9852.0,Eagle,Summit,30.0,0.037037037037037035,37.03703703703704
Ford_Aerostar,17.0,,168.4,7.0,145.0,182.0,,4VAN,6.0,1.0,190.3,72.0,39.8,39.5,41.4,12174.0,Ford,Aerostar,22.0,0.058823529411764705,58.8235294117647
Ford_Escort,26.0,2222.0,38.5,5.0,90.0,114.0,0.0405040504050405,5HB_LX,4.0,1.0,166.9,65.9,35.7,37.9,41.5,8169.0,Ford,Escort,31.0,0.038461538461538464,38.46153846153847
Ford_Festiva,30.0,1713.0,26.5,4.0,63.0,81.0,0.03677758318739054,3HB_LX,4.0,1.0,140.5,63.2,28.2,38.8,40.6,7616.0,Ford,Festiva,31.0,0.03333333333333333,33.333333333333336
Ford_LTD,17.0,3779.0,22.4,6.0,150.0,302.0,0.039693040486901296,4NB,8.0,1.0,211.0,77.5,39.1,37.9,43.5,15851.0,Ford,LTD,24.0,0.058823529411764705,58.8235294117647
Ford_Mustang,17.0,2782.0,30.0,4.0,225.0,302.0,0.08087706685837527,3HB_LXSport,8.0,1.0,179.6,69.1,37.4,37.0,41.7,11925.0,Ford,Mustang,25.0,0.058823529411764705,58.8235294117647
Ford_Probe,22.0,2720.0,40.7,5.0,110.0,133.0,0.04044117647058824,3HBGL,4.0,1.0,177.0,67.9,34.8,37.3,42.5,11458.0,Ford,Probe,29.0,0.045454545454545456,45.45454545454545
Ford_Taurus,21.0,2982.0,17.0,6.0,90.0,153.0,0.030181086519114688,4NBL,4.0,1.0,188.4,70.6,39.8,38.3,41.7,11778.0,Ford,Taurus,27.0,0.047619047619047616,47.61904761904761
Ford_Tempo,22.0,2515.0,13.2,5.0,98.0,141.0,0.0389662027833002,4NBGL,4.0,1.0,176.5,68.3,38.7,37.5,41.5,9722.0,Ford,Tempo,26.0,0.045454545454545456,45.45454545454545
Ford_T-bird,,3542.0,14.7,5.0,140.0,232.0,0.039525691699604744,2NBLX,6.0,1.0,198.7,72.7,35.6,38.1,42.5,,Ford,T-bird,,,
Geo_Metro,,1640.0,31.4,4.0,55.0,61.0,0.03353658536585366,5HBLSi,3.0,3.0,150.4,62.7,31.5,38.8,42.5,8091.0,Geo,Metro,,,
Geo_Spectrum,31.0,1989.0,11.4,5.0,70.0,90.0,0.03519356460532931,4NB,4.0,3.0,160.2,63.6,34.8,37.7,41.7,8429.0,Geo,Spectrum,33.0,0.03225806451612903,32.25806451612903
Honda_Accord,23.0,2482.0,13.7,5.0,98.0,119.0,0.0394842868654311,4NBDX,4.0,3.0,179.7,67.4,34.8,38.7,42.8,12380.0,Honda,Accord,30.0,0.043478260869565216,43.47826086956522
Honda_Civic,27.0,2039.0,12.2,5.0,92.0,91.0,0.04512015693967631,4NBDX,4.0,3.0,166.5,65.9,31.5,38.5,43.1,10090.0,Honda,Civic,32.0,0.037037037037037035,37.03703703703704
Honda_CRX,29.0,1819.0,23.2,2.0,92.0,91.0,0.05057724024189115,3HB,4.0,3.0,147.8,65.7,29.5,37.0,43.9,9880.0,Honda,CRX,36.0,0.034482758620689655,34.48275862068965
Honda_Prelude,20.0,2522.0,11.2,4.0,104.0,119.0,0.041237113402061855,2NBSi,4.0,3.0,175.6,67.3,34.8,36.9,43.1,14670.0,Honda,Prelude,26.0,0.05,50.0
Hyundai_Excel,27.0,2156.0,11.2,5.0,68.0,90.0,0.03153988868274583,4NBGL,4.0,3.0,168.0,63.1,33.8,37.5,40.9,7634.0,Hyundai,Excel,31.0,0.037037037037037035,37.03703703703704
Isuzu_I-Mark,31.0,2011.0,11.4,5.0,70.0,90.0,0.034808552958727,4NBS,4.0,3.0,160.7,63.6,32.8,37.7,41.7,8609.0,Isuzu,I-Mark,33.0,0.03225806451612903,32.25806451612903
Isuzu_Impulse,20.0,2727.0,29.4,4.0,110.0,137.0,0.04033736707004034,3HB,4.0,3.0,172.6,65.2,31.5,36.9,41.9,14869.0,Isuzu,Impulse,26.0,0.05,50.0
Lincoln_Continental,19.0,3628.0,19.0,6.0,140.0,232.0,0.03858875413450937,4NB,6.0,1.0,205.1,72.7,38.0,38.7,41.7,27468.0,Lincoln,Continental,28.0,0.05263157894736842,52.63157894736842
Lincoln_Mark_VII,17.0,3722.0,14.2,5.0,225.0,302.0,0.06045137023105857,2NB,8.0,1.0,202.8,70.9,40.0,37.8,42.0,27218.0,Lincoln,Mark_VII,24.0,0.058823529411764705,58.8235294117647
Lincoln_TownCar,17.0,4051.0,22.4,6.0,150.0,302.0,0.0370278943470748,4NB,8.0,1.0,219.0,78.1,40.0,39.0,43.5,25205.0,Lincoln,Town_Car,24.0,0.058823529411764705,58.8235294117647
Mazda_MPV,19.0,3463.0,37.5,7.0,121.0,159.0,0.03494080277216286,4VAN,4.0,3.0,175.8,71.9,36.1,40.0,40.6,14459.0,Mazda,MPV,24.0,0.05263157894736842,52.63157894736842
Mazda_RX-7,17.0,2645.0,20.9,4.0,146.0,80.0,0.0551984877126654,3HBSE,,3.0,168.9,66.5,32.2,37.2,43.7,16820.0,Mazda,RX-7,23.0,0.058823529411764705,58.8235294117647
Mazda_323,24.0,2175.0,14.7,5.0,82.0,97.0,0.03770114942528736,4NBSE,4.0,3.0,169.7,64.8,30.8,38.3,41.5,8999.0,Mazda,323,30.0,0.041666666666666664,41.666666666666664
Mazda_626,22.0,2590.0,15.9,5.0,110.0,133.0,0.04247104247104247,4NBLX,4.0,3.0,179.3,66.5,36.0,39.0,43.7,13919.0,Mazda,626,28.0,0.045454545454545456,45.45454545454545
Mazda_929,19.0,3373.0,15.1,5.0,158.0,180.0,0.04684257337681589,4NB,6.0,3.0,193.1,66.9,35.4,37.8,43.3,21920.0,Mazda,929,23.0,0.05263157894736842,52.63157894736842
Mercedes_S-Class,17.0,3730.0,15.2,5.0,177.0,181.0,0.047453083109919574,4NB300SE,6.0,2.0,202.6,71.7,39.0,38.6,41.9,51400.0,Mercedes,S-Class,19.0,0.058823529411764705,58.8235294117647
Mercedes_190,20.0,2955.0,11.7,5.0,158.0,159.0,0.05346869712351946,4NB,6.0,2.0,175.1,66.5,34.8,38.0,41.9,32500.0,Mercedes,190E,23.0,0.05,50.0
Mercedes_260,20.0,3210.0,14.6,5.0,188.0,159.0,0.058566978193146414,4NB,6.0,2.0,187.2,68.5,36.7,36.9,41.7,39200.0,Mercedes,260E,24.0,0.05,50.0
Mercury_Tracer,26.0,2185.0,28.9,5.0,82.0,97.0,0.037528604118993135,5HB,4.0,1.0,162.0,65.2,30.8,38.3,41.5,9657.0,Mercury,Tracer,29.0,0.038461538461538464,38.46153846153847
Merkur_Scorpio,17.0,3230.0,37.2,5.0,144.0,177.0,0.04458204334365325,5HB,6.0,1.0,186.4,69.5,34.1,37.0,41.3,25602.0,Merkur,Scorpio,23.0,0.058823529411764705,58.8235294117647
Mitsubishi_Eclipse,26.0,2524.0,10.2,4.0,92.0,107.0,0.03645007923930269,3HB,4.0,3.0,170.5,66.5,,37.9,43.8,,Mitsubishi,Eclipse,37.0,0.038461538461538464,38.46153846153847
Mitsubishi_Galant,22.0,2601.0,12.3,5.0,102.0,122.0,0.0392156862745098,4NB,4.0,3.0,183.9,66.7,34.8,38.6,41.9,11819.0,Mitsubishi,Galant,28.0,0.045454545454545456,45.45454545454545
Mitsubishi_Mirage,27.0,2271.0,10.3,5.0,81.0,90.0,0.035667107001321,4NB,4.0,3.0,170.1,65.7,30.8,39.1,41.9,9329.0,Mitsubishi,Mirage,29.0,0.037037037037037035,37.03703703703704
Mitsubishi_Sigma,18.0,3075.0,12.4,5.0,142.0,181.0,0.04617886178861789,4NB,6.0,3.0,185.8,66.7,34.8,37.5,40.3,17069.0,Mitsubishi,Sigma,22.0,0.05555555555555555,55.55555555555555
Mitsubishi_Wagon,18.0,3285.0,161.6,7.0,107.0,143.0,0.03257229832572298,4VAN,4.0,3.0,175.2,66.5,29.5,38.6,40.0,14929.0,Mitsubishi,Wagon,21.0,0.05555555555555555,55.55555555555555
Nissan_Maxima,19.0,3086.0,14.5,5.0,160.0,181.0,0.05184705119896306,4NBSE,6.0,3.0,187.6,69.3,36.7,39.5,43.7,18899.0,Nissan,Maxima,26.0,0.05263157894736842,52.63157894736842
Nissan_Pulsar,24.0,2388.0,7.0,4.0,90.0,97.0,0.03768844221105527,3HBXE,4.0,3.0,166.5,65.7,33.5,38.0,44.2,12269.0,Nissan,Pulsar,29.0,0.041666666666666664,41.666666666666664
Nissan_Sentra,26.0,2231.0,12.0,5.0,90.0,97.0,0.04034065441506051,4NBE,4.0,3.0,168.7,64.6,30.2,38.2,41.8,9419.0,Nissan,Sentra,30.0,0.038461538461538464,38.46153846153847
Nissan_Stanza,21.0,2770.0,12.0,5.0,97.0,120.0,0.035018050541516244,4NBE,4.0,3.0,177.8,66.5,32.2,38.9,42.0,12599.0,Nissan,Stanza,27.0,0.047619047619047616,47.61904761904761
Nissan_Van,18.0,3330.0,157.6,7.0,106.0,146.0,0.03183183183183183,4VANXE,4.0,3.0,178.0,66.5,30.2,39.0,39.8,15744.0,Nissan,Van,21.0,0.05555555555555555,55.55555555555555
Nissan_240SX,20.0,2690.0,14.2,4.0,140.0,146.0,0.05204460966542751,3HBSE,4.0,3.0,178.0,66.5,30.8,37.8,42.0,13959.0,Nissan,240SX,25.0,0.05,50.0
Nissan_300ZX,18.0,3139.0,14.7,2.0,165.0,181.0,0.05256451099076139,3HBGS,6.0,3.0,170.7,67.9,32.2,36.6,43.6,23049.0,Nissan,300ZX,26.0,0.05555555555555555,55.55555555555555
Oldsmobile_Cutlass,20.0,3084.0,15.5,6.0,130.0,173.0,0.04215304798962387,2NB,6.0,1.0,192.1,71.0,39.0,37.8,42.3,14295.0,Oldsmobile,Cutlass,29.0,0.05,50.0
Oldsmobile_Toronado,19.0,3361.0,14.1,6.0,165.0,231.0,0.04909253198452841,2NB,6.0,1.0,187.5,70.8,38.7,37.8,43.0,21995.0,Oldsmobile,Toronado,28.0,0.05263157894736842,52.63157894736842
Peugot_405,20.0,2460.0,13.7,5.0,110.0,116.0,0.044715447154471545,4NBDL,4.0,2.0,177.7,67.6,36.1,36.5,41.4,15150.0,Peugot,405,24.0,0.05,50.0
Plymouth_Laser,26.0,2410.0,10.2,4.0,135.0,122.0,0.056016597510373446,3HB,4.0,1.0,170.5,66.5,34.0,33.9,42.5,,Plymouth,Laser,37.0,0.038461538461538464,38.46153846153847
Pontiac_Grand_Am,23.0,2592.0,13.1,5.0,110.0,151.0,0.04243827160493827,4NBLE,4.0,1.0,180.1,66.5,37.8,37.7,42.9,11159.0,Pontiac,Grand_Am,30.0,0.043478260869565216,43.47826086956522
Pontiac_Grand_Prix,20.0,3167.0,15.0,6.0,130.0,173.0,0.041048310704136406,2NB,6.0,1.0,193.9,70.9,39.7,37.8,42.3,13899.0,Pontiac,Grand_Prix,29.0,0.05,50.0
Pontiac_LeMans,27.0,2235.0,18.4,5.0,74.0,98.0,0.033109619686800894,4NBLE,4.0,1.0,172.4,65.7,32.8,38.8,42.0,8419.0,Pontiac,LeMans,31.0,0.037037037037037035,37.03703703703704
Pontiac_Sunbird,23.0,2433.0,15.2,5.0,96.0,121.0,0.03945745992601726,4NBLE,4.0,1.0,181.7,65.0,34.7,38.6,42.2,8949.0,Pontiac,Sunbird,31.0,0.043478260869565216,43.47826086956522
Saab_900,19.0,2735.0,53.0,5.0,125.0,121.0,0.04570383912248629,4NB,4.0,2.0,184.3,66.5,33.8,36.8,41.7,18040.0,Saab,900,22.0,0.05263157894736842,52.63157894736842
Saab_9000,18.0,3022.0,56.5,5.0,125.0,121.0,0.0413633355393779,5HBS,4.0,2.0,181.9,69.4,35.8,38.5,41.5,25140.0,Saab,9000,24.0,0.05555555555555555,55.55555555555555
Sterling_827,18.0,3164.0,12.1,5.0,161.0,163.0,0.05088495575221239,4NB825S,6.0,1.0,188.8,76.8,36.5,37.8,41.2,21429.0,Sterling,827,23.0,0.05555555555555555,55.55555555555555
Subaru_Justy,34.0,1745.0,21.9,4.0,66.0,73.0,0.03782234957020057,3HBRS,3.0,3.0,145.5,60.4,32.2,38.0,41.5,5666.0,Subaru,Justy,35.0,0.029411764705882353,29.41176470588235
Subaru_Sedan,25.0,2240.0,14.9,5.0,90.0,109.0,0.04017857142857143,4NBGL,4.0,3.0,174.6,65.4,34.8,37.6,41.7,12081.0,Subaru,Sedan,27.0,0.04,40.0
Subaru_XT,23.0,2455.0,11.6,4.0,97.0,109.0,0.039511201629327905,2NBGL,4.0,3.0,177.6,66.5,34.1,37.4,43.3,13831.0,Subaru,XT,30.0,0.043478260869565216,43.47826086956522
Suzuki_Swift,25.0,1768.0,,4.0,100.0,79.0,0.05656108597285068,5HBGTi,4.0,3.0,146.1,62.4,30.2,,,,Suzuki,Swift,28.0,0.04,40.0
Toyota_Camry,24.0,2690.0,15.4,5.0,115.0,122.0,0.04275092936802974,4NB,6.0,3.0,182.1,67.4,34.8,37.9,42.9,12158.0,Toyota,Camry,30.0,0.041666666666666664,41.666666666666664
Toyota_Celica,26.0,2436.0,,5.0,115.0,122.0,0.04720853858784893,2NBST,4.0,3.0,173.6,67.3,35.4,37.8,44.4,12478.0,Toyota,Celica,32.0,0.038461538461538464,38.46153846153847
Toyota_Corolla,27.0,2207.0,11.0,5.0,90.0,97.0,0.040779338468509285,4NBDeluxe,4.0,3.0,170.3,65.2,,38.4,40.9,9668.0,Toyota,Corolla,30.0,0.037037037037037035,37.03703703703704
Toyota_Cressida,19.0,3417.0,12.0,5.0,190.0,180.0,0.05560433128475271,4NB,6.0,3.0,189.6,67.3,,38.4,42.8,21498.0,Toyota,Cressida,24.0,0.05263157894736842,52.63157894736842
Toyota_MR2,25.0,2350.0,7.8,2.0,115.0,97.0,0.04893617021276596,2NB,4.0,3.0,155.5,65.6,31.5,37.4,43.0,14548.0,Toyota,MR2,30.0,0.04,40.0
Toyota_Supra,18.0,3459.0,12.8,4.0,200.0,180.0,0.05782017924255565,3HB,6.0,3.0,181.9,68.7,35.4,37.5,43.6,23110.0,Toyota,Supra,23.0,0.05555555555555555,55.55555555555555
Toyota_Tercel,28.0,2025.0,37.8,5.0,78.0,89.0,0.03851851851851852,5HBDeluxe,4.0,3.0,157.3,64.0,31.2,38.5,40.2,9008.0,Toyota,Tercel,32.0,0.03571428571428571,35.714285714285715
Volkswagen_Fox,24.0,2203.0,9.9,4.0,81.0,109.0,0.03676804357694054,4NBGL,4.0,2.0,163.4,63.0,31.5,36.6,41.1,7640.0,Volkswagen,Fox,29.0,0.041666666666666664,41.666666666666664
Volkswagen_Jetta,23.0,2305.0,16.6,5.0,100.0,109.0,0.04338394793926247,4NB,4.0,2.0,171.7,65.5,34.4,38.1,39.5,10415.0,Volkswagen,Jetta,28.0,0.043478260869565216,43.47826086956522
Volvo_240,19.0,2919.0,14.0,5.0,114.0,140.0,0.03905447070914697,4NBDL,4.0,2.0,189.9,67.3,32.2,37.9,40.1,17820.0,Volvo,240,24.0,0.05263157894736842,52.63157894736842
Volvo_740,20.0,2954.0,16.8,5.0,114.0,140.0,0.03859174001354096,4NBGL,6.0,2.0,188.4,69.3,32.2,38.6,41.0,20555.0,Volvo,740,26.0,0.05,50.0
Yugo,28.0,1832.0,27.5,4.0,64.0,79.0,0.034934497816593885,3HB,4.0,3.0,139.0,60.7,31.2,37.0,39.0,4349.0,Yugo,¥,31.0,0.03571428571428571,35.714285714285715
New Design,,4000.0,18.0,5.0,200.0,250.0,0.05,,6.0,,200.0,69.0,39.0,40.0,43.0,38000.0,,,,,
