Make/Model,MPG_City,MPG_Hwy,Weight(lb),Seating,Horsepower,HP/Pound,Displacement,Cylinders,Origin,Transmission,EPA_Class,Length,Fuel,HEV,Turbocharger,Make,Model,GP1000M_City,GP1000M_Hwy,h GP1000M_City,Residual GP1000M_City,Residual GP1000M_City 2,Residual GP1000M_City 3
Bentley_Arnage_T,10.0,15.0,5687.0,4.0,500.0,0.08791981712678038,6.7,8.0,2.0,A-S,midsize,212.6,gas,no,yes,Bentley,Arnage_T,100.0,66.66666666666667,0.022553130059064667,7.63619332125667,8.200707790846977,9.178242514692755
Bentley_Continental_Flying_Spur,10.0,17.0,5368.0,5.0,552.0,0.10283159463487332,6.0,12.0,2.0,A-S,midsize,208.3,gas,no,yes,Bentley,Continental_Flying_Spur,100.0,58.8235294117647,0.026305997440951467,5.68004424102395,6.6449465281851445,7.985043590091621
BMW_Z4,19.0,28.0,3086.0,2.0,215.0,0.06966947504860661,3.0,6.0,2.0,A-S,2-seater,161.1,gas,no,no,BMW,Z4,52.63157894736842,35.714285714285715,0.017924469151853462,-0.4215624955058175,-0.3726258820353152,-0.2791940249594802
BMW_Z4,18.0,28.0,3020.0,2.0,215.0,0.07119205298013245,3.0,6.0,2.0,M,2-seater,161.1,gas,no,no,BMW,Z4,55.55555555555556,35.714285714285715,0.013306806374394365,1.7587823336956063,2.149738856070158,2.640841943899396
BMW_135i,18.0,26.0,3384.0,4.0,300.0,0.08865248226950355,3.0,6.0,2.0,A-S,subcompact,172.2,gas,no,yes,BMW,135i,55.55555555555556,38.46153846153846,0.01326694949582715,-5.549981209108594,-5.175442502569901,-4.711943945878126
BMW_135i,17.0,25.0,3373.0,4.0,300.0,0.08894159501927068,3.0,6.0,2.0,M,subcompact,172.2,gas,no,yes,BMW,135i,58.8235294117647,40.0,0.011255164989736954,-3.513764276799101,-2.815441200590172,-1.9647021763747148
BMW_328ci,19.0,28.0,3417.0,4.0,230.0,0.06731050629206907,3.0,6.0,2.0,A-S,subcompact,181.1,gas,no,no,BMW,328ci,52.63157894736842,35.714285714285715,0.009165544677523365,-1.9074617311031759,-1.9502858416860676,-1.9111999427475581
BMW_328ci,18.0,28.0,3351.0,4.0,230.0,0.06863622799164429,3.0,6.0,2.0,M,subcompact,181.1,gas,no,no,BMW,328ci,55.55555555555556,35.714285714285715,0.008479788760704736,0.27288309809824796,0.5720788964194057,1.008836026111318
BMW_650i_Coupe,15.0,22.0,3814.0,4.0,360.0,0.09438909281594127,4.8,8.0,2.0,M,subcompact,190.2,gas,no,no,BMW,650i_Coupe,66.66666666666667,45.45454545454545,0.013861624087828556,-2.0460731904311587,-1.226450232111958,-0.19589490993749337
BMW_M3_Coupe,14.0,20.0,3704.0,4.0,414.0,0.11177105831533478,4.0,8.0,2.0,M,subcompact,181.6,gas,no,no,BMW,M3_Coupe,71.42857142857143,50.0,0.018539653071874464,-1.8307217656962536,-0.6556317588712517,0.7247875256407355
BMW_M3,14.0,20.0,3726.0,4.0,414.0,0.1111111111111111,4.0,8.0,2.0,M,compact,180.3,gas,no,no,BMW,M3,71.42857142857143,50.0,0.018592836094627852,-2.199343106217853,-1.0274464549210762,0.35361763169488825
BMW_328i,19.0,28.0,3406.0,5.0,230.0,0.06752789195537287,3.0,6.0,2.0,A-S,compact,178.2,gas,no,no,BMW,328i,52.63157894736842,35.714285714285715,0.009345288382120748,-2.196588024745374,-2.226616954805067,-2.1746990482605923
BMW_328i,18.0,28.0,3340.0,5.0,230.0,0.0688622754491018,3.0,6.0,2.0,M,compact,178.2,gas,no,no,BMW,328i,55.55555555555556,35.714285714285715,0.008218404290092787,-0.01624319554395015,0.2957477833004063,0.7453369205982838
BMW_535i,17.0,26.0,3703.0,5.0,300.0,0.08101539292465569,3.0,6.0,2.0,A-S,midsize,191.1,gas,no,yes,BMW,535i,58.8235294117647,38.46153846153846,0.010346999385221604,-2.5925814700857543,-2.3834290888909493,-2.0504622895331863
BMW_535i,17.0,26.0,3660.0,5.0,300.0,0.08196721311475409,3.0,6.0,2.0,M,midsize,191.1,gas,no,yes,BMW,535i,58.8235294117647,38.46153846153846,0.011959641125434205,-3.5403383096718457,-2.9967917905253216,-2.2705157159465728
BMW_M5,11.0,17.0,4012.0,5.0,500.0,0.12462612163509472,5.0,10.0,2.0,M,midsize,191.5,gas,no,no,BMW,M5,90.9090909090909,58.8235294117647,0.029410317949369002,9.267582412344211,10.774149317232599,12.532687867363833
BMW_750i,15.0,23.0,4486.0,5.0,360.0,0.08024966562639323,4.8,8.0,2.0,A-S,large,198.4,gas,no,no,BMW,750i,66.66666666666667,43.47826086956522,0.010369949235432965,-5.587120302780292,-5.336306704315334,-4.848735489928131
BMW_328i_Sport_Wagon,18.0,27.0,3593.0,5.0,230.0,0.064013359309769,3.0,6.0,2.0,A-S,smallwagon,178.2,gas,no,no,BMW,328i_Sport_Wagon,55.55555555555556,37.03703703703704,0.009051588647806794,-0.9322369092656686,-1.0242666727202803,-1.0078133611568987
BMW_328i_Sport_Wagon,17.0,27.0,3527.0,5.0,230.0,0.0652112276722427,3.0,6.0,2.0,M,smallwagon,178.2,gas,no,no,BMW,328i_Sport_Wagon,58.8235294117647,37.03703703703704,0.00857029973889359,1.5921051679577616,1.8420953134071993,2.256219855723998
BMW_535xi_Sport_Wagon,16.0,24.0,4145.0,5.0,300.0,0.07237635705669482,3.0,6.0,2.0,A-S,midsizewagon,191.2,gas,no,yes,BMW,535xi_Sport_Wagon,62.5,41.666666666666664,0.008138984054690337,-2.8255257939273406,-2.7632362879024868,-2.5144654415864096
BMW_535xi_Sport_Wagon,16.0,23.0,4100.0,5.0,300.0,0.07317073170731707,3.0,6.0,2.0,M,midsizewagon,191.2,gas,no,yes,BMW,535xi_Sport_Wagon,62.5,43.47826086956522,0.01146235605427275,-3.7555326282438415,-3.358185873749676,-2.715726451731527
BMW_X3_3.0si,17.0,24.0,4067.0,5.0,260.0,0.06392918613228424,3.0,6.0,2.0,A-S,suv4,179.9,gas,no,no,BMW,X3_3.0si,58.8235294117647,41.666666666666664,0.00954262426934793,-4.075345738059745,-4.167746911482055,-4.082411876154708
BMW_X3_3.0si,16.0,23.0,4012.0,5.0,260.0,0.06480558325024925,3.0,6.0,2.0,M,suv4,179.9,gas,no,no,BMW,X3_3.0si,62.5,43.47826086956522,0.011053945734098689,-1.2401319577929542,-0.9941603301579747,-0.5132402167231547
BMW_X5_3.0si,15.0,21.0,4982.0,5.0,260.0,0.05218787635487756,3.0,6.0,2.0,A-S,suv4,191.1,gas,no,no,BMW,X5_3.0si,66.66666666666667,47.61904761904762,0.01541450365931452,-2.8591756135162427,-3.290280336315206,-3.4199765040315384
BMW_X6,13.0,18.0,4894.0,4.0,300.0,0.06129955046996322,4.4,8.0,2.0,A-S,suv4,192.0,gas,no,yes,BMW,X6,76.92307692307692,55.55555555555556,0.011921062098089623,5.056864175719497,4.868295186650286,4.972053629019442
Bugatti_Veyron,8.0,14.0,4154.0,2.0,1001.0,0.2409725565719788,8.0,16.0,2.0,A-S,2-seater,175.6,gas,no,yes,Bugatti,Veyron,125.0,71.42857142857143,0.2142717615150011,,,
Buick_Lacrosse_CX,17.0,28.0,3552.0,5.0,200.0,0.05630630630630631,3.8,6.0,1.0,A,midsize,198.1,gas,no,no,Buick,Lacrosse_CX,58.8235294117647,35.714285714285715,0.011209623069956993,5.759169985226244,5.614193348716633,5.388849078815966
Buick_Lucerne_CX,16.0,25.0,3764.0,5.0,197.0,0.052337938363443144,3.8,6.0,1.0,A,large,203.2,gas,no,no,Buick,Lucerne_CX,62.5,40.0,0.013513316595158451,8.477393665472121,8.22982447961892,7.9288689526562095
Buick_Enclave_CX,16.0,24.0,4780.0,7.0,275.0,0.05753138075313807,3.6,6.0,1.0,A,suv2,201.8,gas,no,no,Buick,Enclave_CX,62.5,41.666666666666664,0.007720538154799641,-7.047040641116581,-7.205467699372932,-7.26472461323182
Buick_Enclave_CX,16.0,22.0,4985.0,7.0,275.0,0.055165496489468405,3.6,6.0,1.0,A,suv4,201.8,gas,no,no,Buick,Enclave_CX,62.5,45.45454545454545,0.009030040076729525,-8.8664161812504,-9.092812067560018,-9.190947280729702
Cadillac_XLR,15.0,24.0,3647.0,2.0,320.0,0.08774335069920483,4.6,8.0,1.0,A-S,2-seater,177.7,gas,no,no,Cadillac,XLR,66.66666666666667,41.666666666666664,0.01122740082326812,2.33979961099962,2.717888455464383,3.221179083853606
Cadillac_CTS,18.0,26.0,3872.0,5.0,304.0,0.07851239669421488,3.6,6.0,1.0,A-S,midsize,191.6,gas,no,no,Cadillac,CTS,55.55555555555556,38.46153846153846,0.009342178039739118,-7.617889206211956,-7.444727124864151,-7.12365391882927
Cadillac_CTS,16.0,25.0,3861.0,5.0,304.0,0.07873607873607874,3.6,6.0,1.0,M,midsize,191.6,gas,no,no,Cadillac,CTS,62.5,40.0,0.011593204984190981,-1.905201685667194,-1.4082552346491255,-0.6999415610905757
Cadillac_STS,15.0,24.0,3995.0,5.0,320.0,0.08010012515644556,4.6,8.0,1.0,A-S,midsize,196.7,gas,no,no,Cadillac,STS,66.66666666666667,41.666666666666664,0.010992390522650157,1.785186669908427,1.9879586357423022,2.354847103099061
Cadillac_STS_AWD,14.0,21.0,4221.0,5.0,320.0,0.07581141909500118,4.6,8.0,1.0,A-S,midsize,196.7,gas,no,no,Cadillac,STS,71.42857142857143,47.61904761904762,0.009646235428266741,4.541340836348596,4.66918131369448,4.99320882668907
Cadillac_DTS,15.0,23.0,4009.0,5.0,275.0,0.06859565976552756,4.6,8.0,1.0,A,large,207.6,gas,no,no,Cadillac,DTS,66.66666666666667,43.47826086956522,0.014281215934656678,4.735755702230179,4.814661603152977,4.880133314830765
Cadillac_Escalade,12.0,19.0,5511.0,8.0,403.0,0.07312647432407911,6.2,8.0,1.0,A,suv2,202.5,gas,no,no,Cadillac,Escalade,83.33333333333333,52.63157894736842,0.013167657438863096,-2.9804507753332103,-2.6916195136651595,-2.1877835902656386
Cadillac_Escalade_AWD,12.0,18.0,5708.0,8.0,403.0,0.07060266292922214,6.2,8.0,1.0,A,suv4,202.5,gas,no,no,Cadillac,Escalade_AWD,83.33333333333333,55.55555555555556,0.015451132657950499,-4.728826294388639,-4.505311418703457,-4.038836592690444
Cadillac_SRX,15.0,22.0,4164.0,7.0,255.0,0.061239193083573486,3.6,6.0,1.0,A-S,suv2,194.9,gas,no,no,Cadillac,SRX,66.66666666666667,45.45454545454545,0.00953140108913842,5.3125287583601875,5.11362436654354,5.097468781446658
Cadillac_SRX,13.0,20.0,4302.0,7.0,320.0,0.07438400743840075,4.6,8.0,1.0,A-S,suv2,194.9,gas,no,no,Cadillac,SRX,76.92307692307692,50.0,0.008849238157672898,9.07691857235777,9.183581187816173,9.498916872336679
Cadillac_SRX_AWD,14.0,22.0,4320.0,7.0,255.0,0.059027777777777776,3.6,6.0,1.0,A-S,suv4,194.9,gas,no,no,Cadillac,SRX_AWD,71.42857142857143,45.45454545454545,0.009681224992142419,8.689933109236293,8.4393060970474,8.3935650744262
Cadillac_SRX_AWD,13.0,20.0,4442.0,7.0,320.0,0.07203962179198559,4.6,8.0,1.0,A-S,suv4,194.9,gas,no,no,Cadillac,SRX_AWD,76.92307692307692,50.0,0.008796418937505372,7.834418203485896,7.89466308271281,8.183447733557628
Chevrolet_Corvette,16.0,26.0,3217.0,2.0,430.0,0.1336649051911719,6.2,8.0,1.0,M,2-seater,174.6,gas,no,no,Chevrolet,Corvette,62.5,38.46153846153846,0.025857266164311027,-8.667263375052471,-7.222145231260114,-5.635387885242608
Chevrolet_Corvette,15.0,24.0,3162.0,2.0,505.0,0.15970904490828589,7.0,8.0,1.0,M,2-seater,175.6,gas,no,no,Chevrolet,Corvette,66.66666666666667,41.666666666666664,0.041133959696863155,-9.956728360133027,-8.091158069939098,-6.084987347751792
Chevrolet_Aveo5,23.0,32.0,2359.0,5.0,103.0,0.043662568885120816,1.6,4.0,1.0,A,subcompact,152.7,gas,no,no,Chevrolet,Aveo5,43.47826086956522,31.25,0.023903423943860077,2.8075086054562064,2.6770120723107382,2.3124055011576914
Chevrolet_Aveo5,24.0,34.0,2343.0,5.0,103.0,0.04396073410157917,1.6,4.0,1.0,M,subcompact,152.7,gas,no,no,Chevrolet,Aveo5,41.666666666666664,29.41176470588235,0.017509381041274936,1.8339365386154114,1.8704996384976482,1.9048409975009335
Chevrolet_Aveo,23.0,32.0,2542.0,5.0,103.0,0.04051927616050354,1.6,4.0,1.0,A,compact,169.7,gas,no,no,Chevrolet,Aveo,43.47826086956522,31.25,0.013538191737291292,3.450546049020673,3.2057482705846425,2.743442762543502
Chevrolet_Aveo,24.0,34.0,2531.0,5.0,103.0,0.04069537732121691,1.6,4.0,1.0,M,compact,169.7,gas,no,no,Chevrolet,Aveo,41.666666666666664,29.41176470588235,0.011748182553730568,2.4325989690058876,2.353203047303552,2.2888972182160643
Chevrolet_Cobalt,24.0,33.0,3216.0,5.0,148.0,0.046019900497512436,2.2,4.0,1.0,M,subcompact,180.5,gas,no,no,Chevrolet,Cobalt,41.666666666666664,30.303030303030305,0.010714895454210465,-5.853034158388603,-5.950391447824309,-5.937013889639516
Chevrolet_Malibu,22.0,32.0,3436.0,5.0,169.0,0.04918509895227008,2.4,4.0,1.0,A-S,midsize,191.8,gas,no,no,Chevrolet,Malibu,45.45454545454545,31.25,0.014245328705692274,-2.8830108743733263,-3.2955896087312198,-3.6354085355679544
Chevrolet_Malibu,17.0,26.0,3649.0,5.0,252.0,0.06906001644286106,3.6,6.0,1.0,A-S,midsize,191.8,gas,no,no,Chevrolet,Malibu,58.8235294117647,38.46153846153846,0.010357288854715742,1.8696988056143127,1.8351095017186552,1.9116032156989888
Chevrolet_Malibu_Hybrid,24.0,32.0,3415.0,5.0,164.0,0.04802342606149341,2.4,4.0,1.0,A,midsize,191.8,gas,yes,no,Chevrolet,Malibu_Hybrid,41.666666666666664,31.25,0.10591344623529231,11.39746259856313,11.198105862250664,10.785534740210721
Chevrolet_Impala_FFV,18.0,29.0,3674.0,5.0,211.0,0.05743059335873707,3.5,6.0,1.0,A,large,200.4,gas,no,no,Chevrolet,Impala_FFV,55.55555555555556,34.48275862068966,0.011587577429265191,0.8237954479874361,0.6905681321180239,0.49409154333920213
Chevrolet_Impala_FFV,14.0,21.0,3674.0,5.0,211.0,0.05743059335873707,3.5,6.0,1.0,A,large,200.4,E85,no,no,Chevrolet,Impala_FFV,71.42857142857143,47.61904761904762,0.048648796915980744,-9.51406218207184,-9.495871730301928,-9.607450534255364
Chevrolet_Impala_FFV,18.0,28.0,3729.0,5.0,233.0,0.06248323947438992,3.9,6.0,1.0,A,large,200.4,gas,no,no,Chevrolet,Impala_FFV,55.55555555555556,35.714285714285715,0.010802385630925983,-1.447098031293109,-1.4796520260000605,-1.565504207826102
Chevrolet_Impala_FFV,13.0,20.0,3729.0,5.0,233.0,0.06248323947438992,3.9,6.0,1.0,A,large,200.4,E85,no,no,Chevrolet,Impala_FFV,76.92307692307692,50.0,0.04832007437231875,-6.290450166846895,-6.171586393914524,-6.172540790915178
Chevrolet_Uplander_FFV,16.0,23.0,4104.0,7.0,240.0,0.05847953216374269,3.9,6.0,1.0,A,minivan,191.0,gas,no,no,Chevrolet,Uplander_FFV,62.5,43.47826086956522,0.004782730050023505,0.3483682196708031,0.2589680138169328,0.1753459378766209
Chevrolet_Uplander_FFV,12.0,17.0,4104.0,7.0,240.0,0.05847953216374269,3.9,6.0,1.0,A,minivan,191.0,E85,no,no,Chevrolet,Uplander_FFV,83.33333333333333,58.8235294117647,0.04493218681296625,-5.0291719500710315,-4.967154388285564,-4.965878679400504
Chevrolet_Avalanche_1500_FFV,14.0,20.0,5605.0,5.0,320.0,0.057091882247992866,5.3,8.0,1.0,A,suv2,221.3,gas,no,no,Chevrolet,Avalanche_1500_FFV,71.42857142857143,50.0,0.021362722643310548,-6.486348740936521,-6.7365991211870835,-6.776961246329449
Chevrolet_Avalanche_1500_FFV,11.0,15.0,5605.0,5.0,320.0,0.057091882247992866,5.3,8.0,1.0,A,suv2,221.3,E85,no,no,Chevrolet,Avalanche_1500_FFV,90.9090909090909,66.66666666666667,0.05017864548953792,-13.216702763492208,-13.315535376103426,-13.270999716420434
Chevrolet_Equinox,17.0,24.0,3699.0,5.0,185.0,0.05001351716680184,3.4,6.0,1.0,A,suv2,188.8,gas,no,no,Chevrolet,Equinox,58.8235294117647,41.666666666666664,0.006068123568655593,4.4297969793508045,4.184344419521636,3.883044793444654
Chevrolet_HHR,19.0,28.0,3353.0,5.0,260.0,0.07754249925439904,2.0,4.0,1.0,A,suv2,176.5,gas,no,yes,Chevrolet,HHR,52.63157894736842,35.714285714285715,0.008717151645768147,-6.409380953139426,-6.095943832258385,-5.873359148041246
Chevrolet_HHR,21.0,29.0,3280.0,5.0,260.0,0.07926829268292683,2.0,4.0,1.0,M,suv2,176.5,gas,no,yes,Chevrolet,HHR,47.61904761904762,34.48275862068966,0.008733470318570856,-10.078014995218922,-9.578619591558812,-8.946276913474513
Chevrolet_Suburban_1500_FFV,14.0,20.0,5608.0,7.0,320.0,0.05706134094151213,5.3,8.0,1.0,A,suv2,222.4,gas,no,no,Chevrolet,Suburban_1500_FFV,71.42857142857143,50.0,0.022351213264267786,-6.366274971293521,-6.620989975921873,-6.665997065736207
Chevrolet_Suburban_1500_FFV,11.0,15.0,5608.0,7.0,320.0,0.05706134094151213,5.3,8.0,1.0,A,suv2,222.4,E85,no,no,Chevrolet,Suburban_1500_FFV,90.9090909090909,66.66666666666667,0.05078518068606888,-13.096628993849208,-13.199926230838216,-13.160035535827191
Chevrolet_Tahoe_1500,14.0,19.0,5270.0,7.0,295.0,0.055977229601518026,4.8,8.0,1.0,A,suv2,202.0,gas,no,no,Chevrolet,Tahoe_1500,71.42857142857143,52.63157894736842,0.011110823544945922,-4.061246484375914,-4.274667557009806,-4.317544027467676
Chevrolet_Tahoe_1500_FFV,14.0,20.0,5270.0,7.0,320.0,0.06072106261859583,5.3,8.0,1.0,A,suv2,202.0,gas,no,no,Chevrolet,Tahoe_1500_FFV,71.42857142857143,50.0,0.010347804548965911,-6.087119591610673,-6.165416959248816,-6.070730736317472
Chevrolet_Tahoe_1500_FFV,11.0,15.0,5270.0,7.0,320.0,0.06072106261859583,5.3,8.0,1.0,A,suv2,202.0,E85,no,no,Chevrolet,Tahoe_1500_FFV,90.9090909090909,66.66666666666667,0.046438277247450505,-12.81747361416636,-12.744353214165159,-12.564769206408457
Chevrolet_Tahoe_Hybrid,21.0,22.0,5270.0,7.0,332.0,0.06299810246679317,6.0,8.0,1.0,AV,suv2,202.0,gas,yes,no,Chevrolet,Tahoe_Hybrid,47.61904761904762,45.45454545454545,0.06390529530812854,-6.144585086912855,-5.932783198660466,-5.54697695386141
Chevrolet_Trailblazer,14.0,20.0,4523.0,5.0,285.0,0.06301127570196773,4.2,6.0,1.0,A,suv4,191.8,gas,no,no,Chevrolet,Trailblazer,71.42857142857143,50.0,0.005587207489785789,2.0184319712733014,2.0308091747205452,2.1123721223122374
Chevrolet_Trailblazer,13.0,19.0,4523.0,5.0,300.0,0.06632765863365023,5.3,8.0,1.0,A,suv4,191.8,gas,no,no,Chevrolet,Trailblazer,76.92307692307692,52.63157894736842,0.005646663109584428,6.297413601437938,6.390865027882612,6.554965591507866
Chevrolet_Trailblazer,12.0,16.0,4496.0,5.0,390.0,0.08674377224199288,6.0,8.0,1.0,A,suv2,191.8,gas,no,no,Chevrolet,Trailblazer,83.33333333333333,62.5,0.00971459875113994,5.65415189678879,6.243000653205655,6.907447469526687
Chrysler_Crossfire_Roadster,19.0,25.0,3140.0,2.0,215.0,0.06847133757961783,3.2,6.0,1.0,A,2-seater,159.8,gas,no,no,Chrysler,Crossfire_Roadster,52.63157894736842,40.0,0.018563093996625375,-3.099587967124428,-2.9060719645271007,-2.828823324474527
