Ave Cost,Units,Goal SD,Weight,Stamp,Chisel
30.75,160.0,0.1,0.345,17.0,18.0
15.94,400.0,0.5,0.39,9.0,11.0
21.67,180.0,0.1,0.52,9.0,12.0
26.0,100.0,0.1,0.44,11.0,15.0
20.58,700.0,0.5,0.46,15.0,11.0
16.36,500.0,0.5,0.45,9.0,11.0
20.63,130.0,0.1,0.44,7.0,8.0
18.03,1200.0,0.1,0.295,11.0,11.0
23.09,120.0,1.0,0.335,18.0,16.0
26.98,220.0,0.1,0.295,12.0,11.0
20.75,170.0,0.1,0.4,5.0,9.0
22.25,200.0,0.5,0.49,12.0,16.0
17.81,180.0,0.5,0.4,10.0,9.0
23.48,140.0,0.5,0.36,13.0,18.0
17.87,180.0,0.1,0.305,5.0,9.0
12.82,180.0,0.5,0.35,6.0,11.0
20.76,220.0,0.5,0.6,10.0,11.0
18.79,600.0,0.1,0.44,11.0,13.0
19.77,300.0,0.5,0.36,13.0,12.0
18.81,1000.0,0.5,0.44,11.0,11.0
19.55,180.0,0.5,0.51,9.0,9.0
20.52,200.0,0.1,0.55,7.0,12.0
17.25,1100.0,1.0,0.41,10.0,8.0
16.17,160.0,0.1,0.355,4.0,9.0
17.14,500.0,0.5,0.365,12.0,10.0
15.27,1000.0,1.0,0.395,16.0,14.0
17.48,300.0,1.0,0.375,14.0,16.0
13.83,140.0,0.5,0.39,3.0,6.0
20.08,110.0,0.1,0.395,5.0,6.0
20.86,260.0,0.1,0.37,10.0,11.0
27.83,120.0,0.1,0.53,13.0,17.0
23.48,300.0,0.1,0.45,12.0,16.0
23.99,220.0,1.0,0.305,15.0,19.0
23.06,190.0,0.5,0.53,14.0,15.0
19.34,170.0,0.5,0.375,7.0,9.0
19.2,300.0,1.0,0.4,9.0,9.0
197.7,130.0,0.5,0.365,12.0,12.0
21.18,300.0,0.5,0.43,12.0,19.0
21.47,110.0,0.5,0.39,12.0,8.0
18.91,900.0,0.1,0.375,11.0,12.0
21.04,120.0,1.0,0.4,9.0,14.0
22.99,180.0,0.5,0.375,9.0,9.0
29.13,290.0,0.1,0.59,13.0,15.0
23.32,280.0,1.0,0.35,11.0,10.0
12.57,1100.0,0.5,0.315,5.0,6.0
13.09,1300.0,1.0,0.5,8.0,6.0
17.65,290.0,0.5,0.32,11.0,10.0
19.6,2200.0,1.0,0.275,14.0,8.0
22.14,120.0,0.1,0.33,8.0,12.0
16.31,120.0,1.0,0.395,8.0,8.0
18.89,700.0,0.1,0.37,8.0,8.0
29.33,500.0,0.1,0.42,13.0,11.0
15.42,160.0,1.0,0.265,9.0,6.0
