Salary,Sex,Position,YearsExper,SexCodes,Mid-Pos?
126.0,male,5.0,22.200000000000003,1.0,1.0
146.0,female,6.0,8.700000000000001,0.0,1.0
144.0,female,4.0,5.5,0.0,1.0
150.0,male,6.0,10.9,1.0,1.0
170.0,female,6.0,7.5,0.0,1.0
118.0,female,2.0,4.1000000000000005,0.0,0.0
162.0,male,8.0,13.0,1.0,0.0
164.0,male,7.0,21.5,1.0,0.0
138.0,female,3.0,7.6000000000000005,0.0,0.0
139.0,male,4.0,6.1000000000000005,1.0,1.0
152.0,female,6.0,6.7,0.0,1.0
140.0,female,2.0,5.800000000000001,0.0,0.0
159.0,male,6.0,8.5,1.0,1.0
120.0,female,2.0,4.2,0.0,0.0
137.0,female,4.0,13.200000000000001,0.0,1.0
156.0,male,6.0,9.5,1.0,1.0
146.0,female,5.0,4.3,0.0,1.0
131.0,male,3.0,11.5,1.0,0.0
148.0,male,6.0,13.4,1.0,1.0
172.0,female,7.0,8.4,0.0,0.0
165.0,male,7.0,7.9,1.0,0.0
133.0,male,4.0,6.6000000000000005,1.0,1.0
152.0,male,5.0,11.700000000000001,1.0,1.0
150.0,male,8.0,15.3,1.0,0.0
150.0,female,6.0,5.4,0.0,1.0
118.0,female,1.0,4.3,0.0,0.0
138.0,male,5.0,15.600000000000001,1.0,1.0
129.0,male,3.0,5.300000000000001,1.0,0.0
147.0,male,6.0,7.1000000000000005,1.0,1.0
165.0,male,8.0,11.700000000000001,1.0,0.0
141.0,male,5.0,10.3,1.0,1.0
149.0,male,8.0,21.8,1.0,0.0
148.0,female,5.0,9.5,0.0,1.0
150.0,male,5.0,11.9,1.0,1.0
152.0,male,8.0,25.3,1.0,0.0
129.0,female,3.0,8.5,0.0,0.0
152.0,female,6.0,4.3,0.0,1.0
141.0,male,4.0,18.3,1.0,1.0
149.0,female,5.0,6.800000000000001,0.0,1.0
124.0,male,4.0,10.5,1.0,1.0
112.0,male,3.0,9.700000000000001,1.0,0.0
154.0,male,7.0,14.8,1.0,0.0
132.0,male,4.0,11.9,1.0,1.0
148.0,male,7.0,16.2,1.0,0.0
139.0,male,5.0,11.600000000000001,1.0,1.0
151.0,male,7.0,22.5,1.0,0.0
139.0,male,6.0,12.5,1.0,1.0
163.0,female,9.0,21.700000000000003,0.0,0.0
162.0,male,6.0,10.100000000000001,1.0,1.0
155.0,male,7.0,9.0,1.0,0.0
157.0,male,7.0,13.0,1.0,0.0
131.0,female,4.0,4.2,0.0,1.0
143.0,male,6.0,8.200000000000001,1.0,1.0
150.0,male,6.0,22.0,1.0,1.0
151.0,female,6.0,4.7,0.0,1.0
140.0,female,5.0,8.0,0.0,1.0
158.0,male,9.0,17.2,1.0,0.0
145.0,male,6.0,9.0,1.0,1.0
119.0,male,3.0,11.8,1.0,0.0
146.0,male,7.0,19.200000000000003,1.0,0.0
143.0,female,3.0,7.800000000000001,0.0,0.0
151.0,male,7.0,20.8,1.0,0.0
132.0,male,4.0,13.5,1.0,1.0
129.0,female,3.0,13.4,0.0,0.0
129.0,male,6.0,21.1,1.0,1.0
165.0,male,8.0,21.400000000000002,1.0,0.0
120.0,female,2.0,2.1,0.0,0.0
133.0,male,3.0,12.0,1.0,0.0
147.0,male,6.0,13.8,1.0,1.0
164.0,male,9.0,22.0,1.0,0.0
127.0,female,3.0,2.3000000000000003,0.0,0.0
132.0,female,4.0,4.6000000000000005,0.0,1.0
146.0,male,5.0,8.9,1.0,1.0
147.0,male,5.0,8.8,1.0,1.0
156.0,male,7.0,15.100000000000001,1.0,0.0
132.0,male,4.0,4.7,1.0,1.0
161.0,male,7.0,16.5,1.0,0.0
