TotalComp,Log10 TotalComp,Name,Company,Industry,Net Sales,Net income ($ Million),Percent stock owned,Full Title,Sex,Age,SP Industry Code,SP Code,SIC,SIC Desc
7860092.0,6.895427629354738,Howard Bernick,ALBERTO-CULVER CO,Staples,2891417000.0,162.153,1.44,president & CEO,MALE,51.0,3030.0,30.0,5990.0,"RETAIL STORES, NEC"
13218278.0,7.121174881487835,Lawrence Johnston,ALBERTSONS INC,Staples,35436000000.0,556.0,,"chairman, president & CEO",MALE,55.0,3010.0,30.0,5411.0,GROCERY STORES
3296418.0,6.5180422769277575,Matthew Espe,IKON OFFICE SOLUTIONS,Industrial,4710912000.0,116.017,,chairman & CEO,MALE,45.0,2020.0,20.0,5040.0,PROF & COML EQ & SUPPLY-WHSL
2406417.0,6.381370886971768,W. Doane,ALEXANDER & BALDWIN INC,Industrial,1233000000.0,81.0,0.22,president & CEO; vice chairman-Matson,MALE,56.0,2030.0,20.0,4400.0,WATER TRANSPORTATION
7652138.0,6.883782793568807,Paul Evanson,ALLEGHENY ENERGY INC,Utility,2472432000.0,-349.942,,"chairman, president & CEO",MALE,62.0,5510.0,55.0,4911.0,ELECTRIC SERVICES
12966369.0,7.112818376697974,David Cote,HONEYWELL INTERNATIONAL INC,Industrial,23103000000.0,1324.0,,chairman & CEO,MALE,51.0,2010.0,20.0,3728.0,"AIRCRAFT PARTS, AUX EQ, NEC"
7329941.0,6.8651004789415975,Scott Ford,ALLTEL CORP,Telecom,7979900000.0,1330.1,,president & CEO,MALE,41.0,5010.0,50.0,4812.0,RADIOTELEPHONE COMMUNICATION
489548.0,5.689795280639912,David Aldrich,SKYWORKS SOLUTIONS INC,IT,617789000.0,-451.416,,president & CEO,MALE,47.0,4530.0,45.0,3674.0,"SEMICONDUCTOR,RELATED DEVICE"
13288908.0,7.123489294783276,Alain Belda,ALCOA INC,Materials,21504000000.0,938.0,,chairman & CEO,MALE,60.0,1510.0,15.0,3350.0,ROLLING & DRAW NONFER METAL
637527.0,5.804498582365136,Byron Pond,AMCAST INDL CORP,Discretionary,423920000.0,-109.681,0.62,chairman & CEO,MALE,67.0,2510.0,25.0,3714.0,"MOTOR VEHICLE PART,ACCESSORY"
3262000.0,6.513483956704256,John Hess,AMERADA HESS CORP,Energy,14311000000.0,643.0,13.45,chairman & CEO,MALE,49.0,1010.0,10.0,2911.0,PETROLEUM REFINING
9734145.0,6.988297811214128,Norman Wesley,FORTUNE BRANDS INC,Discretionary,5912500000.0,579.2,,chairman & CEO,MALE,54.0,2520.0,25.0,3490.0,MISC FABRICATED METAL PRODS
867872.0,5.938455677028029,Henrik Slipsager,ABM INDUSTRIES INC,Industrial,2262476000.0,90.458,,president & CEO,MALE,49.0,2020.0,20.0,7340.0,"SVCS TO DWELLINGS, OTH BLDGS"
2137652.0,6.329937005465351,"E. Draper, Jr.",AMERICAN ELECTRIC POWER,Utility,14545000000.0,119.0,,"chairman, president & CEO; chairman & CEO-service corp; chairman & CEO sub.",MALE,,5510.0,55.0,4911.0,ELECTRIC SERVICES
17404795.999999996,7.240668937324788,Kenneth Chenault,AMERICAN EXPRESS,Financial,26578000000.0,2987.0,,chairman & CEO,MALE,52.0,4020.0,40.0,6199.0,FINANCE SERVICES
14796547.0,7.170160377975236,Daniel Amos,AFLAC INC,Financial,11447000000.0,795.0,1.46,chairman & CEO,MALE,52.0,4030.0,40.0,6321.0,ACCIDENT & HEALTH INSURANCE
1191996.0,6.076274798037738,Zev Weiss,AMERICAN GREETINGS  -CL A,Discretionary,2008943000.0,104.67,,CEO,MALE,37.0,2520.0,25.0,2771.0,GREETING CARDS
12657031.000000002,7.102331843790604,Robert Essner,WYETH,Health,15850632000.0,2051.192,,"chairman, president & CEO",MALE,56.0,3520.0,35.0,2834.0,PHARMACEUTICAL PREPARATIONS
,,Maurice Greenberg,AMERICAN INTERNATIONAL GROUP,Financial,81303000000.0,9274.0,1.67,chairman & CEO,MALE,78.0,4030.0,40.0,6311.0,LIFE INSURANCE
2323798.0,6.366198373589995,Alfred Mockett,AMERICAN MANAGEMENT SYSTEMS,IT,961620000.0,-26.296,,chairman & CEO,MALE,55.0,4510.0,45.0,7370.0,"CMP PROGRAMMING,DATA PROCESS"
566076.0,5.752874742433583,John Gibson,AMERICAN PACIFIC CORP,Materials,68866000.0,9.36,0.89,"chairman, president & CEO",MALE,66.0,1510.0,15.0,2810.0,INDL INORGANIC CHEMICALS
4272247.0,6.630656353485865,Frederic Poses,AMERICAN STANDARD COS INC,Industrial,8567600000.0,405.2,0.25,chairman & CEO,MALE,61.0,2010.0,20.0,3585.0,"AIR-COND,HEATING,REFRIG EQ"
20064332.0,7.30242470538343,David Dorman,AT&T CORP,Telecom,34529000000.0,1865.0,,chairman & CEO,MALE,50.0,5010.0,50.0,4813.0,PHONE COMM EX RADIOTELEPHONE
2406662.0,6.381415100726896,Frank Hermance,AMETEK INC,Industrial,1091622000.0,87.815,0.57,chairman & CEO,MALE,55.0,2010.0,20.0,3621.0,MOTORS AND GENERATORS
15264555.0,7.183684148047622,Kevin Sharer,AMGEN INC,Health,8356000000.0,2259.5,,"chairman, president & CEO",MALE,56.0,3520.0,35.0,2836.0,"BIOLOGICAL PDS,EX DIAGNSTICS"
5908816.0,6.771500466299034,C. Ritter,AMSOUTH BANCORPORATION,Financial,2942229000.0,626.121,,"chairman, president & CEO",MALE,56.0,4010.0,40.0,6020.0,COMMERCIAL BANKS
3475100.0,6.540967306429246,Jerald Fishman,ANALOG DEVICES,IT,2047268000.0,298.281,,president & CEO,MALE,58.0,4530.0,45.0,3674.0,"SEMICONDUCTOR,RELATED DEVICE"
350000.0,5.544068044350275,Bernard Gordon,ANALOGIC CORP,Health,471522000.0,49.495,15.8,"chairman, executive chairman & CEO",MALE,76.0,3510.0,35.0,3825.0,ELEC MEAS & TEST INSTRUMENTS
377400.0,5.576801895828912,Michael LaVelle,ANALYSTS INTERNATIONAL CORP,IT,331899000.0,-1.524,,president & CEO,MALE,64.0,4510.0,45.0,7371.0,COMPUTER PROGRAMMING SERVICE
1458214.0,6.163821263487557,Ralph Faison,ANDREW CORP,IT,1014486000.0,15.52,,president & CEO,MALE,45.0,4520.0,45.0,3357.0,"DRAWNG,INSULATNG NONFER WIRE"
1350911.0,6.130626738006416,Don Hubble,ANGELICA CORP,Industrial,374276000.0,9.203,0.74,"chairman, president & CEO",MALE,64.0,2020.0,20.0,7200.0,PERSONAL SERVICES
22368894.0,7.349644511518559,Eugene Isenberg,NABORS INDUSTRIES LTD,Energy,1880003000.0,192.228,1.05,chairman & CEO,MALE,74.0,1010.0,10.0,1381.0,DRILLING OIL AND GAS WELLS
21716637.0,7.336792572048276,Patrick Stokes,ANHEUSER-BUSCH COS INC,Staples,14146700000.0,2075.9,,president & CEO,MALE,61.0,3020.0,30.0,2082.0,MALT BEVERAGES
1106371.0,6.043900783600678,Richard Heckmann,K2 INC,Discretionary,718539000.0,11.424,,chairman & CEO,MALE,60.0,2520.0,25.0,3949.0,"SPORTING & ATHLETIC GDS, NEC"
2706485.0,6.432405624467804,G. Farris,APACHE CORP,Energy,4198920000.0,1121.885,,"president, CEO & chief operating officer",MALE,56.0,1010.0,10.0,1311.0,CRUDE PETROLEUM & NATURAL GS
833794.0,5.921058765608859,Russell Huffer,APOGEE ENTERPRISES INC,Industrial,535328999.99999994,-5.593,0.76,"chairman, president & CEO",MALE,54.0,2010.0,20.0,3231.0,"GLASS PD,MADE OF PURCH GLASS"
74750001.0,7.873611202806426,Steven Jobs,APPLE COMPUTER INC,IT,6207000000.0,69.0,1.35,CEO,MALE,49.0,4520.0,45.0,3571.0,ELECTRONIC COMPUTERS
16324735.0,7.212846140086663,Michael Splinter,APPLIED MATERIALS INC,IT,4477291000.0,-149.147,,president & CEO,MALE,53.0,4530.0,45.0,3559.0,"SPECIAL INDUSTRY MACHY, NEC"
2685390.0,6.429007367334704,Robert Arzbaecher,ACTUANT CORP  -CL A,Industrial,585393000.0,28.966,1.4,president & CEO,MALE,43.0,2010.0,20.0,3540.0,METALWORKING MACHINERY & EQ
6251421.000000001,6.795978747314282,G. Andreas,ARCHER-DANIELS-MIDLAND CO,Staples,30708033000.0,451.145,,chairman & CEO,MALE,60.0,3020.0,30.0,2070.0,FATS AND OILS
1448813.0,6.161012334188204,Robert Young III,ARKANSAS BEST CORP,Industrial,1527473000.0,46.11,8.24,president & CEO,MALE,63.0,2030.0,20.0,4213.0,"TRUCKING, EXCEPT LOCAL"
4826606.0,6.683641848433423,William Mitchell,ARROW ELECTRONICS INC,IT,8679313000.0,25.7,2.6,CEO,MALE,,4520.0,45.0,5065.0,"ELECTRONIC PARTS,EQ-WHSL,NEC"
2696510.0,6.430802035207072,James O'Brien,ASHLAND INC,Energy,7564000000.0,75.0,,chairman & CEO,MALE,49.0,1010.0,10.0,5160.0,CHEMICALS & ALLIED PDS-WHSL
2943350.0,6.468841908049595,Paula Rosput,AGL RESOURCES INC,Utility,983700000.0,127.9,,"chairman, president & CEO",FEMALE,47.0,5510.0,55.0,4924.0,NATURAL GAS DISTRIBUTION
709513.0,5.850960357195243,John Irwin,ATWOOD OCEANICS,Energy,144765000.0,-12.802,,president & CEO,MALE,58.0,1010.0,10.0,1381.0,DRILLING OIL AND GAS WELLS
5579413.0,6.746588510000156,Carol Bartz,AUTODESK INC,IT,951643000.0,120.316,0.42,"chairman, president & CEO",FEMALE,55.0,4510.0,45.0,7372.0,PREPACKAGED SOFTWARE
3983889.0,6.600307229510933,Arthur Weinbach,AUTOMATIC DATA PROCESSING,IT,7147017000.0,1018.15,,chairman & CEO,MALE,60.0,4510.0,45.0,7374.0,"CMP PROCESSING,DATA PREP SVC"
4663566.0,6.668718127390923,Philip Neal,AVERY DENNISON CORP,Industrial,4762600000.0,267.9,,chairman & CEO,MALE,63.0,2020.0,20.0,2670.0,"CONVRT PAPR,PAPRBRD,EX BOXES"
3287448.0,6.516858891994645,Roy Vallee,AVNET INC,IT,9048442000.0,-46.116,0.1,chairman & CEO,MALE,51.0,4520.0,45.0,5065.0,"ELECTRONIC PARTS,EQ-WHSL,NEC"
8134003.0,6.910304328245997,Andrea Jung,AVON PRODUCTS,Staples,6876000000.0,664.8,,chairman & CEO,FEMALE,45.0,3030.0,30.0,2844.0,"PERFUME,COSMETIC,TOILET PREP"
5668265.0,6.753450145976868,Michael Wiley,BAKER-HUGHES INC,Energy,5292800000.0,128.9,,chairman & CEO,MALE,53.0,1010.0,10.0,3533.0,"OIL & GAS FIELD MACHY, EQUIP"
744518.0,5.871875202029329,John McFarland,BALDOR ELECTRIC,Industrial,561391000.0,24.779,0.51,president & CEO,MALE,,2010.0,20.0,3621.0,MOTORS AND GENERATORS
5572821.0,6.746075093664357,R. Hoover,BALL CORP,Materials,4977000000.0,229.9,0.58,"chairman, president & CEO",MALE,58.0,1510.0,15.0,3411.0,METAL CANS
6901426.000000001,6.838938835656859,Mayo Shattuck III,CONSTELLATION ENERGY GRP INC,Utility,9703000000.0,290.5,,"chairman, president & CEO",MALE,49.0,5510.0,55.0,4931.0,ELECTRIC & OTHER SERV COMB
23260506.0,7.366619157968423,James Dimon,BANK ONE CORP,Financial,20724000000.0,3535.0,,CEO,MALE,48.0,4010.0,40.0,6020.0,COMMERCIAL BANKS
636913.0,5.804080113339493,Richard Carrion,POPULAR INC,Financial,2660248000.0,470.915,,"chairman, president & CEO",MALE,51.0,4010.0,40.0,6020.0,COMMERCIAL BANKS
2857617.0,6.456004020839552,Michael O'Neill,BANK OF HAWAII CORP,Financial,641241000.0,135.195,1.58,chairman & CEO,MALE,57.0,4010.0,40.0,6020.0,COMMERCIAL BANKS
1459396.0,6.164173151577941,Martin Carver,BANDAG INC,Discretionary,816397000.0,60.2,29,"chairman, president & CEO",MALE,55.0,2510.0,25.0,3011.0,TIRES AND INNER TUBES
18954164.000000004,7.27770463401734,Thomas Renyi,BANK OF NEW YORK CO INC,Financial,6336000000.0,1157.0,,chairman & CEO,MALE,57.0,4020.0,40.0,6020.0,COMMERCIAL BANKS
2142185.0,6.3308569739700475,Stephanie Streeter,BANTA CORP,Industrial,1418497000.0,46.614,,president & CEO,FEMALE,46.0,2020.0,20.0,2750.0,COMMERCIAL PRINTING
15962419.0,7.203098706484953,William Longfield,BARD (C.R.) INC,Health,1433100000.0,168.5,,chairman & CEO,MALE,65.0,3510.0,35.0,3841.0,"SURGICAL,MED INSTR,APPARATUS"
5271479.0,6.721932480757779,Edmund Carpenter,BARNES GROUP INC,Industrial,890818000.0,33.015,0.85,president & CEO,MALE,62.0,2010.0,20.0,3490.0,MISC FABRICATED METAL PRODS
7471432.0,6.873403848146806,Gregory Wilkins,BARRICK GOLD CORP,Materials,2035000000.0,200.0,,president & CEO,MALE,48.0,1510.0,15.0,1040.0,GOLD AND SILVER ORES
362767.0,5.5596277735100434,"Robert Spilman, Jr.",BASSETT FURNITURE INDS,Discretionary,316857000.0,-0.47,0.72,president & CEO,MALE,47.0,2520.0,25.0,2511.0,"WOOD HSHLD FURN, EX UPHOLSRD"
6821813.0,6.833899810324791,Ronald Zarrella,BAUSCH & LOMB INC,Health,2019500000.0,125.5,0.27,chairman & CEO,MALE,54.0,3510.0,35.0,2834.0,PHARMACEUTICAL PREPARATIONS
4837293.0,6.6846023938654735,"Harry Jansen Kraemer, Jr.",BAXTER INTERNATIONAL INC,Health,8916000000.0,881.0,,chairman & CEO,MALE,49.0,3510.0,35.0,3841.0,"SURGICAL,MED INSTR,APPARATUS"
2789889.0,6.445586924547265,David Pugh,APPLIED INDUSTRIAL TECH INC,Industrial,1464367000.0,19.832,0.307,chairman & CEO,MALE,54.0,2010.0,20.0,5080.0,MACHINERY AND EQUIPMENT-WHSL
3872065.0,6.5879426391591815,Edward Ludwig,BECTON DICKINSON & CO,Health,4527940000.0,547.056,,"chairman, president & CEO",MALE,52.0,3510.0,35.0,3841.0,"SURGICAL,MED INSTR,APPARATUS"
274412.0,5.438403099089492,Daniel Bernstein,BEL FUSE INC,IT,158498000.0,13.764,3.82,president & CEO,MALE,50.0,4520.0,45.0,3677.0,"ELECTR COIL,TRANSFRM,INDUCTR"
18123452.0,7.258240921915107,Ivan Seidenberg,VERIZON COMMUNICATIONS,Telecom,67752000000.0,3077.0,,chairman & CEO,MALE,57.0,5010.0,50.0,4813.0,PHONE COMM EX RADIOTELEPHONE
387451.0,5.588216786132137,Tracy Edwards,BELL INDUSTRIES INC,IT,141905000.0,-3.787,0.68,"chairman, president & CEO",MALE,47.0,4520.0,45.0,7373.0,CMP INTEGRATED SYS DESIGN
12927415.000000002,7.11151169089181,F. Ackerman,BELLSOUTH CORP,Telecom,22635000000.0,3904.0,,"chairman, president & CEO",MALE,61.0,5010.0,50.0,4813.0,PHONE COMM EX RADIOTELEPHONE
3073227.0,6.4875946400501885,Robert Decherd,BELO CORP  -SER A COM,Discretionary,1436011000.0,128.525,,"chairman, president & CEO",MALE,52.0,2540.0,25.0,2711.0,"NEWSPAPER:PUBG, PUBG & PRINT"
3337528.0,6.523424917876596,Jeffrey Curler,BEMIS CO,Materials,2635018000.0,147.145,0.97,president & CEO,MALE,53.0,1510.0,15.0,2670.0,"CONVRT PAPR,PAPRBRD,EX BOXES"
308000.0,5.488550716500444,Warren Buffett,BERKSHIRE HATHAWAY  -CL A,Financial,63859000000.0,8151.0,37.2,chairman & CEO,MALE,73.0,4030.0,40.0,6321.0,ACCIDENT & HEALTH INSURANCE
3339915.0,6.523735414266445,Bradbury Anderson,BEST BUY CO INC,Discretionary,24547000000.0,705.0,0.49,vice chairman & CEO,MALE,54.0,2550.0,25.0,5731.0,"RADIO,TV,CONS ELECTR STORES"
3012757.0,6.478964104187462,William Floyd,BEVERLY ENTERPRISES,Health,1996981000.0,80.468,0.46,"chairman, president & CEO",MALE,59.0,3510.0,35.0,8051.0,SKILLED NURSING CARE FAC
1854277.0,6.268174611461985,Norman Schwartz,BIO-RAD LABORATORIES INC,Health,1003382000.0,76.171,1,president & CEO,MALE,54.0,3510.0,35.0,3826.0,LAB ANALYTICAL INSTRUMENTS
1052614.0,6.022269141932743,Sim Fass,SAVIENT PHARMACEUTICALS INC,Health,132525000.0,13.922,0.38,chairman & CEO,MALE,62.0,3520.0,35.0,2833.0,"MEDICINAL CHEMS,BOTANICL PDS"
16311150.999999998,7.212484608208358,Nolan Archibald,BLACK & DECKER CORP,Discretionary,4482700000.0,293.0,0.41,"chairman, president & CEO",MALE,60.0,2520.0,25.0,3540.0,METALWORKING MACHINERY & EQ
1501736.0,6.17659359190883,Daniel Landguth,BLACK HILLS CORP,Utility,1136052000.0,61.222,,chairman & CEO,MALE,57.0,5510.0,55.0,4911.0,ELECTRIC SERVICES
6755078.0,6.829630368128443,Carl Thorne,ENSCO INTERNATIONAL INC,Energy,790800000.0,108.3,1.11,CEO,MALE,63.0,1010.0,10.0,1381.0,DRILLING OIL AND GAS WELLS
1116546.0,6.047876620049319,James Osterman,BLOUNT INTL INC,Discretionary,559100000.0,-33.7,,president & CEO,MALE,66.0,2520.0,25.0,3420.0,"CUTLERY, HANDTOOLS,GEN HRDWR"
3323358.0,6.521577127029544,Philip Condit,BOEING CO,Industrial,50485000000.0,718.0,,chairman & CEO,MALE,,2010.0,20.0,3721.0,AIRCRAFT
8864779.0,6.9476679130585515,George Harad,BOISE CASCADE CORP,Discretionary,8245146000.000001,8.272,0.33,chairman & CEO,MALE,59.0,2550.0,25.0,5110.0,PAPER & PAPER PRODUCTS-WHSL
11048957.0,7.043321283403603,"Harold Messmer, Jr.",ROBERT HALF INTL INC,Industrial,1974991000.0,6.39,0.91,chairman & CEO,MALE,57.0,2020.0,20.0,7363.0,HELP SUPPLY SERVICES
4292697.0,6.632730234887057,Thomas May,NSTAR,Utility,2914131000.0,183.534,,"chairman, president & CEO",MALE,56.0,5510.0,55.0,4911.0,ELECTRIC SERVICES
2246377.0,6.351482643857732,Arnold Nemirow,BOWATER INC,Materials,2721100000.0,-205.0,1.13,"chairman, president & CEO",MALE,60.0,1510.0,15.0,2621.0,PAPER MILLS
1977805.0,6.296183470477199,Robert Johnson,BOWNE & CO INC,Industrial,1064819999.9999999,-9.127,0.73,chairman & CEO,MALE,58.0,2020.0,20.0,2750.0,COMMERCIAL PRINTING
3699854.0,6.568184586703374,John Shiely,BRIGGS & STRATTON,Industrial,1657633000.0,80.638,1.59,"chairman, president & CEO",MALE,51.0,2010.0,20.0,3510.0,ENGINES AND TURBINES
9364353.999999998,6.971477822937939,Peter Dolan,BRISTOL MYERS SQUIBB,Health,20894000000.0,3106.0,,chairman & CEO,MALE,48.0,3520.0,35.0,2834.0,PHARMACEUTICAL PREPARATIONS
2023331.0,6.306066935521472,Ronald Fromm,BROWN SHOE CO INC,Discretionary,1832108000.0,46.894,0.36,chairman & CEO,MALE,53.0,2520.0,25.0,3140.0,"FOOTWEAR, EXCEPT RUBBER"
1608855.0,6.206516904548043,James Lightner,BROWN (TOM) INC,Energy,466376000.0,82.737,0.03,"chairman, president & CEO",MALE,51.0,1010.0,10.0,1311.0,CRUDE PETROLEUM & NATURAL GS
6912582.0,6.839640296129939,George Buckley,BRUNSWICK CORP,Discretionary,4128700000.0,135.2,,chairman & CEO,MALE,57.0,2520.0,25.0,3510.0,ENGINES AND TURBINES
2187139.0,6.33987638478189,Gordon Harnett,BRUSH ENGINEERED MATERIALS,Materials,401046000.0,-13.226,0.2,"chairman, president & CEO",MALE,61.0,1510.0,15.0,3330.0,"PRIM SMELT,REFIN NONFER METL"
5668774.0,6.753489143089153,Matthew Rose,BURLINGTON NORTHERN SANTA FE,Industrial,9413000000.0,816.0,,"chairman, president & CEO",MALE,44.0,2030.0,20.0,4011.0,"RAILROADS,LINE-HAUL OPERATNG"
4044258.0,6.6068388532498865,Lawrence Weinbach,UNISYS CORP,IT,5911200000.0,258.7,,"chairman, president & CEO",MALE,64.0,4510.0,45.0,7373.0,CMP INTEGRATED SYS DESIGN
843141.0,5.9259002085528545,David Woodle,C-COR.NET CORP,IT,200662000.0,-139.589,0.12,CEO,MALE,47.0,4520.0,45.0,3663.0,"RADIO, TV BROADCAST, COMM EQ"
550206.0,5.740525322063631,Roger Ballou,CDI CORP,Industrial,1060314000.0000001,22.546,,president & CEO,MALE,53.0,2020.0,20.0,7363.0,HELP SUPPLY SERVICES
13013399.999999998,7.114390779138564,H. Hanway,CIGNA CORP,Health,18808000000.0,668.0,,chairman & CEO,MALE,52.0,3510.0,35.0,6324.0,HOSPITAL & MEDICAL SVC PLANS
565762.0,5.752633774254717,J. Pierson,CPI CORP,Industrial,301683000.0,1.218,0.01,"chairman, president & CEO",MALE,,2020.0,20.0,7200.0,PERSONAL SERVICES
3628276.0,6.559700316072142,Stephen Lilienthal,CNA FINANCIAL CORP,Financial,11716000000.0,-1433.0,,CEO,MALE,54.0,4030.0,40.0,6331.0,"FIRE, MARINE, CASUALTY INS"
4733485.0,6.675181005214344,Michael Ward,CSX CORP,Industrial,7793000000.0,246.0,,"chairman, president & CEO",MALE,53.0,2030.0,20.0,4011.0,"RAILROADS,LINE-HAUL OPERATNG"
1782529.0,6.251036604127001,Donald Schwanz,CTS CORP,IT,462987000.0,12.575,,"chairman, president & CEO",MALE,60.0,4520.0,45.0,3670.0,"ELECTRONIC COMP, ACCESSORIES"
3837260.0,6.584021226547751,Kennett Burnes,CABOT CORP,Materials,1795000000.0,80.0,1.14,"chairman, president & CEO",MALE,60.0,1510.0,15.0,2890.0,MISC CHEMICAL PRODUCTS
3636977.0,6.560740554614055,J. London,CACI INTL INC  -CL A,IT,843138000.0,44.711,1.42,"chairman, president & CEO",MALE,66.0,4510.0,45.0,7373.0,CMP INTEGRATED SYS DESIGN
544427.0,5.735939655216531,Norimichi Kanari,UNIONBANCAL CORP,Financial,2563916000.0,587.139,,president & CEO,MALE,57.0,4010.0,40.0,6020.0,COMMERCIAL BANKS
4466274.0,6.649945362944514,Douglas Conant,CAMPBELL SOUP CO,Staples,6678000000.0,595.0,,president & CEO,MALE,52.0,3020.0,30.0,2030.0,"CAN,FROZN,PRESRV FRUIT & VEG"
2859965.0,6.456360718303911,Richard Sands,CONSTELLATION BRANDS  -CL A,Staples,3552429000.0,220.414,0.5,chairman & CEO,MALE,53.0,3020.0,30.0,2084.0,"WINE,BRANDY & BRANDY SPIRITS"
9764383.0,6.989644805927898,Joseph Saunders,PROVIDIAN FINANCIAL CORP,Financial,2781408000.0,196.185,,"chairman, president & CEO",MALE,58.0,4020.0,40.0,6020.0,COMMERCIAL BANKS
15282777.0,7.184202276111172,Robert Walter,CARDINAL HEALTH INC,Health,56737000000.0,1405.8,1.005,chairman & CEO,MALE,58.0,3510.0,35.0,5122.0,DRUGS AND PROPRIETARY-WHSL
2855443.0,6.455673495254583,Richmond McKinnish,CARLISLE COS INC,Industrial,2108164000.0000002,88.92,0.31,president & CEO,MALE,54.0,2010.0,20.0,9997.0,CONGLOMERATE
9257290.999999998,6.966483915852851,William Cavanaugh III,PROGRESS ENERGY INC,Utility,8743000000.0,782.0,,chairman & CEO,MALE,,5510.0,55.0,4911.0,ELECTRIC SERVICES
539955.0,5.7323575671080915,Dennis Draeger,CARPENTER TECHNOLOGY CORP,Materials,871100000.0,-10.9,0.2,"chairman, president & CEO",MALE,,1510.0,15.0,3312.0,STEEL WORKS & BLAST FURNACES
288439.0,5.460053981219649,W. Matsuyama,CASCADE NATURAL GAS CORP,Utility,302755000.0,9.104,,president & CEO,MALE,57.0,5510.0,55.0,4924.0,NATURAL GAS DISTRIBUTION
779767.0,5.891964851753275,G. McKane,CASTLE (A M) & CO,Materials,543031000.0,-18.049,0.57,president & CEO,MALE,60.0,1510.0,15.0,5051.0,METALS SERVICE CENTERS-WHSL
7132417.999999999,6.853236787359997,Glen Barton,CATERPILLAR INC,Industrial,22763000000.0,1099.0,,chairman & CEO,MALE,,2010.0,20.0,3531.0,CONSTRUCTION MACHINERY & EQ
792176.0,5.898821680752628,John Cato,CATO CORP  -CL A,Discretionary,747267000.0,31.389,,"chairman, president & CEO",MALE,53.0,2550.0,25.0,5621.0,WOMEN'S CLOTHING STORES
21264526.0,7.327655706453816,Laurence Hirsch,CENTEX CORP,Discretionary,10363391000.0,827.686,1.78,chairman & CEO,MALE,,2520.0,25.0,1531.0,OPERATIVE BUILDERS
5261321.0,6.721094799473618,D. Jones Jr.,COMPASS BANCSHARES INC,Financial,1801343000.0,341.868,0.97,chairman & CEO,MALE,61.0,4010.0,40.0,6020.0,COMMERCIAL BANKS
603057.0,5.780358362912191,Steven Lant,CH ENERGY GROUP INC,Utility,806684000.0,45.372,,CEO; CEO-Central Hudson; CEO & president CHEC,MALE,47.0,5510.0,55.0,4931.0,ELECTRIC & OTHER SERV COMB
484958.0,5.685704127967058,David Eppler,CLECO CORP,Utility,874637000.0,-34.929,,president & CEO,MALE,53.0,5510.0,55.0,4911.0,ELECTRIC SERVICES
1417028.0,6.1513784318461555,Robert Young,CENTRAL VERMONT PUB SERV,Utility,306014000.0,19.801,0.21,president & CEO,MALE,56.0,5510.0,55.0,4911.0,ELECTRIC SERVICES
6156943.0,6.789365132980785,Glen Post III,CENTURYTEL INC,Telecom,2379245000.0,344.707,,chairman & CEO,MALE,51.0,5010.0,50.0,4813.0,PHONE COMM EX RADIOTELEPHONE
345122.0,5.537972644524948,Albert Koch,CHAMPION ENTERPRISES INC,Discretionary,1140714000.0,-103.084,,"chairman, president & CEO",MALE,61.0,2520.0,25.0,2451.0,MOBILE HOMES
