Index,Date,Daily Zoo Attendance,Log attendance,Revenue,Average Ticket Price,MaxTemp,Gas price,Total Ad Stock,Ad,Weather Condition,Weather Condition refined,Holiday/Events,Month,Season,day of the week,Weekend?,Events_recode,Weather_recode_2
23.0,2004-04-23,3427.0,8.139440521874608,30980.079999999998,9.04,63.0,1.9,1.0,no,RAIN,RAIN,NONE,APR,HIGH SEASON,Fri,No,NONE,NOT GOOD WEATHER
24.0,2004-04-24,8009.0,8.988321188323683,72561.54000000001,9.06,70.0,1.91,1.0,no,RAIN,RAIN,PoetrySafri,APR,HIGH SEASON,Sat,Yes,Have Events,NOT GOOD WEATHER
25.0,2004-04-25,5659.0,8.641002477142523,51610.079999999994,9.12,56.0,1.91,1.0,no,SUNNY/CLOUDY,MOSTLY CLOUDY,PoetrySafri,APR,HIGH SEASON,Sun,Yes,Have Events,GOOD WEATHER
26.0,2004-04-26,1283.0,7.1569563646156364,11688.13,9.11,57.0,1.91,71.0,yes,RAIN,RAIN,NONE,APR,HIGH SEASON,Mon,No,NONE,NOT GOOD WEATHER
27.0,2004-04-27,5448.0,8.60300384782935,49849.200000000004,9.15,68.0,1.92,124.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,APR,HIGH SEASON,Tue,No,NONE,GOOD WEATHER
28.0,2004-04-28,10428.0,9.252249775053393,1042.8,0.1,61.0,1.92,163.0,yes,RAIN,RAIN,NONE,APR,HIGH SEASON,Wed,No,NONE,NOT GOOD WEATHER
29.0,2004-04-29,7211.0,8.88336291691676,65764.31999999999,9.12,68.0,1.92,192.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,APR,HIGH SEASON,Thu,No,NONE,GOOD WEATHER
30.0,2004-04-30,8107.0,9.000483164987708,73611.56,9.08,68.0,1.92,213.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,APR,HIGH SEASON,Fri,No,NONE,GOOD WEATHER
31.0,2004-05-01,9293.0,9.13701670755734,88283.5,9.5,68.0,1.93,228.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,MAY,HIGH SEASON,Sat,Yes,NONE,GOOD WEATHER
32.0,2004-05-02,4101.0,8.31898612539206,37237.08,9.08,66.0,1.93,240.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,MAY,HIGH SEASON,Sun,Yes,NONE,GOOD WEATHER
33.0,2004-05-03,2761.0,7.923348211930154,24987.050000000003,9.05,57.0,1.94,298.0,yes,RAIN,RAIN,NONE,MAY,HIGH SEASON,Mon,No,NONE,NOT GOOD WEATHER
34.0,2004-05-04,11981.0,9.3910773406399,109865.77,9.17,62.0,1.96,351.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,MAY,HIGH SEASON,Tue,No,NONE,GOOD WEATHER
35.0,2004-05-05,14678.0,9.594105053105007,1467.8000000000002,0.1,62.0,1.97,398.0,yes,RAIN,RAIN,NONE,MAY,HIGH SEASON,Wed,No,NONE,NOT GOOD WEATHER
36.0,2004-05-06,5679.0,8.644530439877432,56222.1,9.9,67.0,1.99,440.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,MAY,HIGH SEASON,Thu,No,NONE,GOOD WEATHER
37.0,2004-05-07,6208.0,8.733594061863055,56306.560000000005,9.07,82.0,1.99,479.0,yes,RAIN,RAIN,NONE,MAY,HIGH SEASON,Fri,No,NONE,NOT GOOD WEATHER
38.0,2004-05-08,5135.0,8.543835122362658,46677.15,9.09,62.0,2.0,514.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,DeltaPrsnts,MAY,HIGH SEASON,Sat,Yes,Have Events,GOOD WEATHER
39.0,2004-05-09,6131.0,8.721113147762688,55853.409999999996,9.11,68.0,2.0,546.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,ExtremeMoms,MAY,HIGH SEASON,Sun,Yes,Have Events,GOOD WEATHER
40.0,2004-05-10,5790.0,8.663887570567042,52920.600000000006,9.14,67.0,2.01,629.0,yes,RAIN,RAIN,NONE,MAY,HIGH SEASON,Mon,No,NONE,NOT GOOD WEATHER
41.0,2004-05-11,4983.0,8.513787398281405,45544.62,9.14,82.0,2.01,691.0,yes,RAIN,RAIN,NONE,MAY,HIGH SEASON,Tue,No,NONE,NOT GOOD WEATHER
42.0,2004-05-12,13188.0,9.487062604191621,1318.8000000000002,0.1,83.0,2.02,737.0,yes,RAIN,RAIN,NONE,MAY,HIGH SEASON,Wed,No,NONE,NOT GOOD WEATHER
43.0,2004-05-13,8978.0,9.102532419341877,81610.02,9.09,83.0,2.02,774.0,yes,RAIN,RAIN,NONE,MAY,HIGH SEASON,Thu,No,NONE,NOT GOOD WEATHER
44.0,2004-05-14,9324.0,9.140347000155648,85128.12000000001,9.13,68.0,2.03,805.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,MAY,HIGH SEASON,Fri,No,NONE,GOOD WEATHER
45.0,2004-05-15,10048.0,9.21512888870798,91336.31999999999,9.09,84.0,2.03,832.0,yes,RAIN,RAIN,NONE,MAY,HIGH SEASON,Sat,Yes,NONE,NOT GOOD WEATHER
46.0,2004-05-16,11207.0,9.324293862052029,101871.63,9.09,81.0,2.04,855.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,MAY,HIGH SEASON,Sun,Yes,NONE,GOOD WEATHER
47.0,2004-05-17,4758.0,8.467582690862903,43916.340000000004,9.23,68.0,2.04,877.0,yes,RAIN,RAIN,NONE,MAY,HIGH SEASON,Mon,No,NONE,NOT GOOD WEATHER
48.0,2004-05-18,13673.0,9.523178364309082,123740.65000000001,9.05,82.0,2.05,897.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,MAY,HIGH SEASON,Tue,No,NONE,GOOD WEATHER
49.0,2004-05-19,10049.0,9.21522840604896,1004.9000000000001,0.1,71.0,2.05,916.0,yes,RAIN,RAIN,NONE,MAY,HIGH SEASON,Wed,No,NONE,NOT GOOD WEATHER
50.0,2004-05-20,9164.0,9.123038043573386,83484.04,9.11,68.0,2.06,935.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,MAY,HIGH SEASON,Thu,No,NONE,GOOD WEATHER
51.0,2004-05-21,6469.0,8.774776816043985,58932.59,9.11,78.0,2.06,952.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,MAY,HIGH SEASON,Fri,No,NONE,GOOD WEATHER
52.0,2004-05-22,8724.0,9.07383312732152,79213.92,9.08,80.0,2.07,968.0,yes,RAIN,RAIN,NONE,MAY,HIGH SEASON,Sat,Yes,NONE,NOT GOOD WEATHER
53.0,2004-05-23,8580.0,9.057189192482008,77820.6,9.07,84.0,2.07,984.0,yes,RAIN,RAIN,NONE,MAY,HIGH SEASON,Sun,Yes,NONE,NOT GOOD WEATHER
54.0,2004-05-24,4635.0,8.441391477999955,42085.8,9.08,73.0,2.08,992.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,MAY,HIGH SEASON,Mon,No,NONE,GOOD WEATHER
55.0,2004-05-25,8997.0,9.104646467417119,82232.58,9.14,71.0,2.08,999.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,MAY,HIGH SEASON,Tue,No,NONE,GOOD WEATHER
56.0,2004-05-26,10903.0,9.296793259706382,1090.3,0.1,63.0,2.09,1004.0,yes,RAIN,RAIN,NONE,MAY,HIGH SEASON,Wed,No,NONE,NOT GOOD WEATHER
57.0,2004-05-27,11705.0,9.367771379925012,107100.75,9.15,72.0,2.09,1007.0,yes,RAIN,RAIN,NONE,MAY,HIGH SEASON,Thu,No,NONE,NOT GOOD WEATHER
58.0,2004-05-28,10846.0,9.291551627401006,98156.3,9.05,78.0,2.1,1010.0,yes,RAIN,RAIN,NONE,MAY,HIGH SEASON,Fri,No,NONE,NOT GOOD WEATHER
59.0,2004-05-29,15530.0,9.650528916142733,141012.4,9.08,69.0,2.1,1012.0,yes,SUNNY/CLOUDY,Sunny,LiveLarge,MAY,HIGH SEASON,Sat,Yes,Have Events,GOOD WEATHER
60.0,2004-05-30,18350.0,9.817384853482716,166434.5,9.07,72.0,2.11,1013.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,LiveLarge,MAY,HIGH SEASON,Sun,Yes,Have Events,GOOD WEATHER
61.0,2004-05-31,7824.0,8.964951211714654,70885.44,9.06,65.0,2.11,989.0,yes,RAIN,RAIN,NONE,MAY,HIGH SEASON,Mon,No,NONE,NOT GOOD WEATHER
62.0,2004-06-01,12799.0,9.457122321855792,104439.84,8.16,67.0,2.12,967.0,yes,RAIN,RAIN,MEMDAY,JUNE,HIGH SEASON,Tue,No,Have Events,NOT GOOD WEATHER
63.0,2004-06-02,18956.0,9.849875783087478,1895.6000000000001,0.1,81.0,2.12,946.0,yes,RAIN,RAIN,NONE,JUNE,HIGH SEASON,Wed,No,NONE,NOT GOOD WEATHER
64.0,2004-06-03,11463.0,9.34687973611501,93079.56,8.12,79.0,2.13,928.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,JUNE,HIGH SEASON,Thu,No,NONE,GOOD WEATHER
65.0,2004-06-04,11405.0,9.341807134718488,93749.1,8.22,72.0,2.13,910.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,JUNE,HIGH SEASON,Fri,No,NONE,GOOD WEATHER
66.0,2004-06-05,6724.0,8.813438494528507,54531.64,8.11,67.0,2.14,894.0,yes,RAIN,RAIN,NONE,JUNE,HIGH SEASON,Sat,Yes,NONE,NOT GOOD WEATHER
67.0,2004-06-06,2988.0,8.002359546252707,24232.679999999997,8.11,60.0,2.14,879.0,yes,RAIN,RAIN,NONE,JUNE,HIGH SEASON,Sun,Yes,NONE,NOT GOOD WEATHER
68.0,2004-06-07,7025.0,8.857230494201946,57886.0,8.24,77.0,2.15,897.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,JUNE,HIGH SEASON,Mon,No,NONE,GOOD WEATHER
69.0,2004-06-08,6516.0,8.782015969721936,53235.72,8.17,86.0,2.15,914.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,JUNE,HIGH SEASON,Tue,No,NONE,GOOD WEATHER
70.0,2004-06-09,20510.0,9.928667851066427,2051.0,0.1,92.0,2.16,931.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,JUNE,HIGH SEASON,Wed,No,NONE,GOOD WEATHER
71.0,2004-06-10,5728.0,8.653121708640482,46912.32,8.19,81.0,2.16,948.0,yes,RAIN,RAIN,NONE,JUNE,HIGH SEASON,Thu,No,NONE,NOT GOOD WEATHER
72.0,2004-06-11,10625.0,9.270964993792617,87018.75,8.19,71.0,2.17,964.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,JUNE,HIGH SEASON,Fri,No,NONE,GOOD WEATHER
73.0,2004-06-12,12632.0,9.443988555935478,102950.8,8.15,75.0,2.17,979.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,JUNE,HIGH SEASON,Sat,Yes,NONE,GOOD WEATHER
74.0,2004-06-13,13694.0,9.524713059681009,112016.92,8.18,73.0,2.17,994.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,JUNE,HIGH SEASON,Sun,Yes,NONE,GOOD WEATHER
75.0,2004-06-14,2711.0,7.905072849498666,22067.54,8.14,80.0,2.17,1026.0,yes,RAIN,RAIN,NONE,JUNE,HIGH SEASON,Mon,No,NONE,NOT GOOD WEATHER
76.0,2004-06-15,9259.0,9.133351330448047,75553.44,8.16,87.0,2.17,1055.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,JUNE,HIGH SEASON,Tue,No,NONE,GOOD WEATHER
77.0,2004-06-16,17215.0,9.753536375772624,1721.5,0.1,85.0,2.17,1081.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,JUNE,HIGH SEASON,Wed,No,NONE,GOOD WEATHER
78.0,2004-06-17,4397.0,8.388677769180811,36143.340000000004,8.22,84.0,2.17,1105.0,yes,RAIN,RAIN,NONE,JUNE,HIGH SEASON,Thu,No,NONE,NOT GOOD WEATHER
79.0,2004-06-18,6782.0,8.822027322685583,55341.12,8.16,88.0,2.17,1127.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,JUNE,HIGH SEASON,Fri,No,NONE,GOOD WEATHER
80.0,2004-06-19,9007.0,9.105757331783742,73407.05,8.15,83.0,2.17,1147.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,DadsDay,JUNE,HIGH SEASON,Sat,Yes,Have Events,GOOD WEATHER
81.0,2004-06-20,12802.0,9.45735668770195,104336.3,8.15,76.0,2.17,1165.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,DadsDay,JUNE,HIGH SEASON,Sun,Yes,Have Events,GOOD WEATHER
82.0,2004-06-21,5799.0,8.66544076787644,48827.58,8.42,80.0,2.16,1163.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,JUNE,HIGH SEASON,Mon,No,NONE,GOOD WEATHER
83.0,2004-06-22,2547.0,7.842671474979457,20579.76,8.08,76.0,2.16,1163.0,yes,RAIN,RAIN,NONE,JUNE,HIGH SEASON,Tue,No,NONE,NOT GOOD WEATHER
84.0,2004-06-23,17115.0,9.747710550964285,1711.5,0.1,82.0,2.16,1163.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,JUNE,HIGH SEASON,Wed,No,NONE,GOOD WEATHER
85.0,2004-06-24,8188.0,9.01042494678118,66895.96,8.17,79.0,2.16,1165.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,JUNE,HIGH SEASON,Thu,No,NONE,GOOD WEATHER
86.0,2004-06-25,5800.0,8.66561319653451,47270.0,8.15,80.0,2.16,1167.0,yes,RAIN,RAIN,NONE,JUNE,HIGH SEASON,Fri,No,NONE,NOT GOOD WEATHER
87.0,2004-06-26,7503.0,8.923058219545728,60999.39000000001,8.13,80.0,2.16,1169.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,JUNE,HIGH SEASON,Sat,Yes,NONE,GOOD WEATHER
88.0,2004-06-27,13544.0,9.51369892381297,110112.72000000002,8.13,80.0,2.16,1172.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,JUNE,HIGH SEASON,Sun,Yes,NONE,GOOD WEATHER
89.0,2004-06-28,6021.0,8.703008637464448,49311.99,8.19,81.0,2.16,1193.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,JUNE,HIGH SEASON,Mon,No,NONE,GOOD WEATHER
90.0,2004-06-29,7110.0,8.869257522797287,57591.0,8.1,79.0,2.16,1212.0,yes,RAIN,RAIN,NONE,JUNE,HIGH SEASON,Tue,No,NONE,NOT GOOD WEATHER
91.0,2004-06-30,36874.0,10.515261974630336,3687.4,0.1,81.0,2.16,1229.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,JUNE,HIGH SEASON,Wed,No,NONE,GOOD WEATHER
92.0,2004-07-01,6574.0,8.790877754224164,53643.840000000004,8.16,80.0,2.16,1244.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,JUL,HIGH SEASON,Thu,No,NONE,GOOD WEATHER
93.0,2004-07-02,6049.0,8.707648248106914,49299.35,8.15,85.0,2.16,1257.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,SpotsStripes,JUL,HIGH SEASON,Fri,No,Have Events,GOOD WEATHER
94.0,2004-07-03,9531.0,9.162304922937626,77487.03000000001,8.13,83.0,2.16,1269.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,SpotsStripes,JUL,HIGH SEASON,Sat,Yes,Have Events,GOOD WEATHER
95.0,2004-07-04,9132.0,9.119540007649686,75704.28,8.29,80.0,2.16,1280.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,SpotsStripes,JUL,HIGH SEASON,Sun,Yes,Have Events,GOOD WEATHER
96.0,2004-07-05,8389.0,9.034676602846295,68370.35,8.15,83.0,2.16,1289.0,yes,RAIN,RAIN,NONE,JUL,HIGH SEASON,Mon,No,NONE,NOT GOOD WEATHER
97.0,2004-07-06,6571.0,8.790421306897867,53882.2,8.2,84.0,2.16,1297.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,JUL,HIGH SEASON,Tue,No,NONE,GOOD WEATHER
98.0,2004-07-07,29935.0,10.306783643359452,2993.5,0.1,81.0,2.16,1305.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,JUL,HIGH SEASON,Wed,No,NONE,GOOD WEATHER
99.0,2004-07-08,6615.0,8.797095076549056,53978.4,8.16,89.0,2.16,1312.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,JUL,HIGH SEASON,Thu,No,NONE,GOOD WEATHER
100.0,2004-07-09,9888.0,9.199077179697472,80982.72,8.19,81.0,2.15,1318.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,JUL,HIGH SEASON,Fri,No,NONE,GOOD WEATHER
101.0,2004-07-10,12879.0,9.46335335689267,104448.68999999999,8.11,86.0,2.15,1323.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,ExtremeSrvrs,JUL,HIGH SEASON,Sat,Yes,Have Events,GOOD WEATHER
102.0,2004-07-11,12061.0,9.397732385583243,97694.09999999999,8.1,84.0,2.15,1328.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,ExtremeSrvrs,JUL,HIGH SEASON,Sun,Yes,Have Events,GOOD WEATHER
103.0,2004-07-12,2228.0,7.708859601047175,18158.2,8.15,73.0,2.15,1364.0,yes,RAIN,RAIN,NONE,JUL,HIGH SEASON,Mon,No,NONE,NOT GOOD WEATHER
104.0,2004-07-13,3995.0,8.292798858200374,32599.2,8.16,69.0,2.15,1398.0,yes,RAIN,RAIN,NONE,JUL,HIGH SEASON,Tue,No,NONE,NOT GOOD WEATHER
105.0,2004-07-14,20831.0,9.944197540783914,2083.1,0.1,76.0,2.15,1430.0,yes,RAIN,RAIN,NONE,JUL,HIGH SEASON,Wed,No,NONE,NOT GOOD WEATHER
106.0,2004-07-15,11192.0,9.322954516345318,91438.64,8.17,81.0,2.15,1461.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,JUL,HIGH SEASON,Thu,No,NONE,GOOD WEATHER
107.0,2004-07-16,10327.0,9.242517103671403,84061.78,8.14,81.0,2.15,1490.0,yes,RAIN,RAIN,NONE,JUL,HIGH SEASON,Fri,No,NONE,NOT GOOD WEATHER
108.0,2004-07-17,11931.0,9.3868953338758,96879.71999999999,8.12,86.0,2.15,1517.0,yes,RAIN,RAIN,ExtremeSwngrs,JUL,HIGH SEASON,Sat,Yes,Have Events,NOT GOOD WEATHER
109.0,2004-07-18,5629.0,8.635687085464026,45594.9,8.1,77.0,2.15,1543.0,yes,RAIN,RAIN,ExtremeSwngrs,JUL,HIGH SEASON,Sun,Yes,Have Events,NOT GOOD WEATHER
110.0,2004-07-19,3723.0,8.222285073872717,30081.84,8.08,81.0,2.15,1537.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,JUL,HIGH SEASON,Mon,No,NONE,GOOD WEATHER
111.0,2004-07-20,8549.0,9.053569596026234,69759.84,8.16,86.0,2.15,1530.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,JUL,HIGH SEASON,Tue,No,NONE,GOOD WEATHER
112.0,2004-07-21,34015.0,10.43455688277916,3401.5,0.1,87.0,2.14,1523.0,yes,SUNNY/CLOUDY,Sunny,NONE,JUL,HIGH SEASON,Wed,No,NONE,GOOD WEATHER
113.0,2004-07-22,12611.0,9.442324727955874,102275.20999999999,8.11,86.0,2.14,1517.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,JUL,HIGH SEASON,Thu,No,NONE,GOOD WEATHER
114.0,2004-07-23,2989.0,8.002694162283937,24240.789999999997,8.11,77.0,2.14,1511.0,yes,RAIN,RAIN,NONE,JUL,HIGH SEASON,Fri,No,NONE,NOT GOOD WEATHER
115.0,2004-07-24,4733.0,8.462314529906248,38242.64,8.08,74.0,2.14,1504.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,Colorific,JUL,HIGH SEASON,Sat,Yes,Have Events,GOOD WEATHER
116.0,2004-07-25,9851.0,9.19532825185568,79990.12,8.12,78.0,2.14,1499.0,yes,RAIN,RAIN,Colorific,JUL,HIGH SEASON,Sun,Yes,Have Events,NOT GOOD WEATHER
117.0,2004-07-26,6582.0,8.792093929503284,53709.12,8.16,79.0,2.14,1493.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,JUL,HIGH SEASON,Mon,No,NONE,GOOD WEATHER
118.0,2004-07-27,5753.0,8.657476736863293,46771.89000000001,8.13,73.0,2.14,1487.0,yes,RAIN,RAIN,NONE,JUL,HIGH SEASON,Tue,No,NONE,NOT GOOD WEATHER
119.0,2004-07-28,9165.0,9.123147160273806,916.5,0.1,77.0,2.13,1482.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,JUL,HIGH SEASON,Wed,No,NONE,GOOD WEATHER
120.0,2004-07-29,11883.0,9.382864086290027,96846.45,8.15,85.0,2.13,1476.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,JUL,HIGH SEASON,Thu,No,NONE,GOOD WEATHER
121.0,2004-07-30,8497.0,9.047468439003541,68825.7,8.1,83.0,2.13,1471.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,JUL,HIGH SEASON,Fri,No,NONE,GOOD WEATHER
122.0,2004-07-31,9860.0,9.19624144759668,79668.8,8.08,84.0,2.13,1466.0,yes,RAIN,RAIN,Kidsday,JUL,HIGH SEASON,Sat,Yes,Have Events,NOT GOOD WEATHER
123.0,2004-08-01,3435.0,8.14177220465645,27754.8,8.08,88.0,2.13,1462.0,yes,RAIN,RAIN,Kidsday,AUG,HIGH SEASON,Sun,Yes,Have Events,NOT GOOD WEATHER
124.0,2004-08-02,5430.0,8.599694412927981,44254.5,8.15,93.0,2.13,1408.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,AUG,HIGH SEASON,Mon,No,NONE,GOOD WEATHER
125.0,2004-08-03,5672.0,8.643297068211963,46170.08,8.14,97.0,2.13,1358.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,AUG,HIGH SEASON,Tue,No,NONE,GOOD WEATHER
126.0,2004-08-04,29079.0,10.277771543160718,2907.9,0.1,91.0,2.12,1311.0,yes,RAIN,RAIN,NONE,AUG,HIGH SEASON,Wed,No,NONE,NOT GOOD WEATHER
127.0,2004-08-05,5958.0,8.692490133273228,48498.12,8.14,99.0,2.12,1269.0,yes,RAIN,RAIN,NONE,AUG,HIGH SEASON,Thu,No,NONE,NOT GOOD WEATHER
128.0,2004-08-06,11629.0,9.361257257293044,94892.64,8.16,88.0,2.12,1229.0,yes,RAIN,RAIN,NONE,AUG,HIGH SEASON,Fri,No,NONE,NOT GOOD WEATHER
