Day,Week,Shaft Diameter
21.0,5.0,815.4
21.0,5.0,814.0
22.0,5.0,815.2
22.0,5.0,814.6
22.0,5.0,814.0
22.0,5.0,813.5
22.0,5.0,813.7
23.0,5.0,815.1
23.0,5.0,814.6
23.0,5.0,814.6
23.0,5.0,814.9
23.0,5.0,814.2
24.0,5.0,815.2
24.0,5.0,817.1
24.0,5.0,814.5
24.0,5.0,817.1
24.0,5.0,816.0
25.0,5.0,815.6
25.0,5.0,814.2
25.0,5.0,816.0
25.0,5.0,815.9
25.0,5.0,815.2
26.0,6.0,817.2
26.0,6.0,816.0
26.0,6.0,814.2
26.0,6.0,814.2
26.0,6.0,814.5
27.0,6.0,813.4
27.0,6.0,815.6
27.0,6.0,813.8
27.0,6.0,814.9
27.0,6.0,816.0
28.0,6.0,814.2
28.0,6.0,815.7
28.0,6.0,815.0
28.0,6.0,816.2
28.0,6.0,815.1
29.0,6.0,814.7
29.0,6.0,816.3
29.0,6.0,814.8
29.0,6.0,815.2
29.0,6.0,813.2
30.0,6.0,813.5
30.0,6.0,815.2
30.0,6.0,813.3
30.0,6.0,814.9
30.0,6.0,814.3
31.0,7.0,814.2
31.0,7.0,815.6
31.0,7.0,812.5
31.0,7.0,813.1
31.0,7.0,815.6
32.0,7.0,815.9
32.0,7.0,815.1
32.0,7.0,814.2
32.0,7.0,814.7
32.0,7.0,816.2
33.0,7.0,814.2
33.0,7.0,815.7
33.0,7.0,814.9
33.0,7.0,815.4
33.0,7.0,814.8
34.0,7.0,815.6
34.0,7.0,814.5
34.0,7.0,814.9
34.0,7.0,816.3
34.0,7.0,814.4
35.0,7.0,814.2
35.0,7.0,814.7
35.0,7.0,815.5
35.0,7.0,815.3
35.0,7.0,816.3
36.0,8.0,815.1
36.0,8.0,816.2
36.0,8.0,814.6
36.0,8.0,814.3
36.0,8.0,816.4
37.0,8.0,813.8
37.0,8.0,814.6
37.0,8.0,815.6
37.0,8.0,815.6
37.0,8.0,814.6
38.0,8.0,815.8
38.0,8.0,814.7
38.0,8.0,815.3
38.0,8.0,815.0
38.0,8.0,814.4
39.0,8.0,812.8
39.0,8.0,814.5
39.0,8.0,815.8
39.0,8.0,816.3
39.0,8.0,815.0
40.0,8.0,814.0
40.0,8.0,814.3
40.0,8.0,814.2
40.0,8.0,814.6
40.0,8.0,814.4
41.0,9.0,814.2
41.0,9.0,815.1
41.0,9.0,814.9
41.0,9.0,815.0
41.0,9.0,817.6
42.0,9.0,815.1
42.0,9.0,814.9
42.0,9.0,811.6
42.0,9.0,815.7
42.0,9.0,815.3
43.0,9.0,814.1
43.0,9.0,814.5
43.0,9.0,814.5
43.0,9.0,816.8
43.0,9.0,814.4
44.0,9.0,814.3
44.0,9.0,814.7
44.0,9.0,814.8
44.0,9.0,815.1
44.0,9.0,815.4
45.0,9.0,815.2
45.0,9.0,814.5
45.0,9.0,814.9
45.0,9.0,814.6
45.0,9.0,815.2
46.0,10.0,816.5
46.0,10.0,814.0
46.0,10.0,814.7
46.0,10.0,816.9
46.0,10.0,814.3
47.0,10.0,814.4
47.0,10.0,814.6
47.0,10.0,815.4
47.0,10.0,816.0
47.0,10.0,815.4
48.0,10.0,816.0
48.0,10.0,815.2
48.0,10.0,815.9
48.0,10.0,815.8
48.0,10.0,815.2
49.0,10.0,815.1
49.0,10.0,815.4
49.0,10.0,814.4
49.0,10.0,813.9
49.0,10.0,814.6
50.0,10.0,814.5
50.0,10.0,813.0
50.0,10.0,816.4
50.0,10.0,815.8
50.0,10.0,815.4
51.0,11.0,815.2
51.0,11.0,814.6
51.0,11.0,815.4
51.0,11.0,815.1
51.0,11.0,817.4
52.0,11.0,813.7
52.0,11.0,815.3
52.0,11.0,814.8
52.0,11.0,815.6
52.0,11.0,814.1
53.0,11.0,815.3
53.0,11.0,815.6
53.0,11.0,815.2
53.0,11.0,815.8
53.0,11.0,813.1
54.0,11.0,814.3
54.0,11.0,814.2
54.0,11.0,814.2
54.0,11.0,816.5
54.0,11.0,815.1
55.0,11.0,816.1
55.0,11.0,813.0
55.0,11.0,814.8
55.0,11.0,816.3
55.0,11.0,815.0
56.0,12.0,815.2
56.0,12.0,814.0
56.0,12.0,814.9
56.0,12.0,815.4
56.0,12.0,815.0
57.0,12.0,815.3
57.0,12.0,816.4
57.0,12.0,814.0
57.0,12.0,813.8
57.0,12.0,814.5
58.0,12.0,815.3
58.0,12.0,816.2
58.0,12.0,813.5
58.0,12.0,814.4
58.0,12.0,814.7
59.0,12.0,814.8
59.0,12.0,813.7
59.0,12.0,814.1
59.0,12.0,815.6
59.0,12.0,816.8
60.0,12.0,816.2
60.0,12.0,814.8
60.0,12.0,815.3
60.0,12.0,815.4
60.0,12.0,813.2
61.0,13.0,813.4
61.0,13.0,815.7
61.0,13.0,816.5
61.0,13.0,813.9
61.0,13.0,815.5
62.0,13.0,816.1
62.0,13.0,814.6
62.0,13.0,814.8
62.0,13.0,815.6
62.0,13.0,815.9
63.0,13.0,813.0
63.0,13.0,814.9
63.0,13.0,813.9
63.0,13.0,815.7
63.0,13.0,815.4
64.0,13.0,815.3
64.0,13.0,815.7
64.0,13.0,815.0
64.0,13.0,814.2
64.0,13.0,813.5
65.0,13.0,815.5
65.0,13.0,816.7
65.0,13.0,813.6
65.0,13.0,815.7
65.0,13.0,815.1
66.0,14.0,816.5
66.0,14.0,815.2
66.0,14.0,814.6
66.0,14.0,814.8
66.0,14.0,816.4
67.0,14.0,814.7
67.0,14.0,814.4
67.0,14.0,815.0
67.0,14.0,814.8
67.0,14.0,814.1
68.0,14.0,815.3
68.0,14.0,814.1
68.0,14.0,813.8
68.0,14.0,814.2
68.0,14.0,813.5
69.0,14.0,815.1
69.0,14.0,814.9
69.0,14.0,815.5
69.0,14.0,814.2
69.0,14.0,813.8
70.0,14.0,814.6
70.0,14.0,814.4
70.0,14.0,813.9
70.0,14.0,815.2
70.0,14.0,816.7
71.0,15.0,815.6
71.0,15.0,815.1
71.0,15.0,814.4
71.0,15.0,816.0
71.0,15.0,814.2
72.0,15.0,813.4
72.0,15.0,815.2
72.0,15.0,814.8
72.0,15.0,815.9
72.0,15.0,815.6
73.0,15.0,814.9
73.0,15.0,815.3
73.0,15.0,816.4
73.0,15.0,814.0
73.0,15.0,814.1
74.0,15.0,812.9
74.0,15.0,814.5
74.0,15.0,814.4
74.0,15.0,815.9
74.0,15.0,814.5
75.0,15.0,815.0
75.0,15.0,815.2
75.0,15.0,815.7
75.0,15.0,816.2
75.0,15.0,812.5
76.0,16.0,814.9
76.0,16.0,814.6
76.0,16.0,814.9
76.0,16.0,814.3
76.0,16.0,815.2
77.0,16.0,813.5
77.0,16.0,816.6
77.0,16.0,813.9
77.0,16.0,815.6
77.0,16.0,815.9
78.0,16.0,816.4
78.0,16.0,815.6
78.0,16.0,815.4
78.0,16.0,815.3
78.0,16.0,815.5
79.0,16.0,814.3
79.0,16.0,815.7
79.0,16.0,816.5
79.0,16.0,816.1
79.0,16.0,816.2
80.0,16.0,815.3
80.0,16.0,816.1
80.0,16.0,815.4
80.0,16.0,815.5
80.0,16.0,813.8
