Shape,Carat,Cut,Color,Clarity,Polish,Symmetry,L/W Ratio,Report,Depth,Table,Fluorescence,Culet,Date Loose,Price,ln price,ln carat
Princess,0.23,Good,D,VS2,EX,G,1.01,GIA,61.9,73.0,None,None,2008-12-09,307.0,5.726847747587197,-1.4696759700589417
Emerald,0.23,Very Good,D,VS1,VG,VG,1.57,GIA,66.3,68.0,None,None,2008-12-17,309.0,5.733341276897746,-1.4696759700589417
Round,0.3,Very Good,G,SI2,EX,EX,1.01,GIA,62.8,57.0,None,None,2008-12-17,310.0,5.736572297479192,-1.2039728043259361
Round,0.3,Very Good,G,SI2,EX,EX,1.01,GIA,63.0,58.0,Faint,None,2008-12-17,310.0,5.736572297479192,-1.2039728043259361
Round,0.3,Very Good,G,SI2,EX,EX,1.0,GIA,62.5,53.0,Faint,None,2008-12-17,310.0,5.736572297479192,-1.2039728043259361
Round,0.3,Very Good,G,SI2,EX,EX,1.01,GIA,63.0,55.0,None,None,2008-12-17,310.0,5.736572297479192,-1.2039728043259361
Round,0.3,Very Good,G,SI2,EX,EX,1.01,GIA,62.3,57.0,None,None,2008-12-17,310.0,5.736572297479192,-1.2039728043259361
Princess,0.31,Very Good,G,VS1,VG,G,1.01,GIA,72.9,65.0,None,None,2008-12-10,311.0,5.739792912179234,-1.171182981502945
Round,0.23,Very Good,I,VVS1,EX,VG,1.01,GIA,59.4,58.0,None,None,2008-12-10,313.0,5.746203190540153,-1.4696759700589417
Round,0.32,Ideal,I,SI1,VG,EX,1.01,GIA,61.4,56.0,Strong Blue,None,2008-12-17,313.0,5.746203190540153,-1.1394342831883648
Emerald,0.23,Very Good,D,SI1,VG,G,1.33,GIA,66.3,69.0,Medium,None,2008-12-09,314.0,5.749392985908253,-1.4696759700589417
Princess,0.24,Very Good,I,VVS2,VG,G,1.01,GIA,72.1,73.0,Medium,None,2008-12-10,314.0,5.749392985908253,-1.4271163556401458
Round,0.25,Very Good,I,SI1,G,VG,1.01,GIA,63.6,58.0,Faint,None,2008-12-10,314.0,5.749392985908253,-1.3862943611198906
Princess,0.3,Very Good,I,SI1,VG,VG,1.05,GIA,73.9,76.0,None,None,2008-12-11,314.0,5.749392985908253,-1.2039728043259361
Round,0.31,Very Good,I,SI2,VG,EX,1.01,GIA,60.1,56.0,Faint,None,2008-12-10,314.0,5.749392985908253,-1.171182981502945
Princess,0.26,Very Good,I,VVS2,VG,VG,1.03,GIA,73.3,67.0,None,None,2008-12-10,315.0,5.752572638825633,-1.3470736479666092
Round,0.32,Ideal,I,SI2,VG,VG,1.0,GIA,58.4,61.0,None,None,2008-12-10,316.0,5.755742213586912,-1.1394342831883648
Round,0.32,Very Good,I,SI2,VG,VG,1.0,GIA,59.0,56.0,None,Small,2008-12-11,316.0,5.755742213586912,-1.1394342831883648
Round,0.32,Ideal,I,SI2,VG,VG,1.0,GIA,61.3,57.0,None,Very Small,2008-12-10,316.0,5.755742213586912,-1.1394342831883648
Round,0.32,Ideal,I,SI2,VG,VG,1.0,GIA,60.0,60.0,None,None,2008-12-10,316.0,5.755742213586912,-1.1394342831883648
Round,0.32,Ideal,I,SI2,EX,VG,1.0,GIA,61.9,59.0,None,None,2008-12-10,316.0,5.755742213586912,-1.1394342831883648
Round,0.32,Good,I,SI2,VG,VG,1.0,GIA,58.8,60.0,None,None,2008-12-10,316.0,5.755742213586912,-1.1394342831883648
Round,0.23,Ideal,I,VS1,VG,EX,1.01,GIA,61.4,56.0,None,None,2008-12-10,318.0,5.762051382780177,-1.4696759700589417
Emerald,0.23,Good,D,VS1,VG,VG,1.42,GIA,71.8,68.0,None,None,2008-12-09,318.0,5.762051382780177,-1.4696759700589417
Emerald,0.27,Very Good,G,VS1,VG,VG,1.37,GIA,68.9,66.0,None,None,2008-12-10,318.0,5.762051382780177,-1.3093333199837622
Round,0.32,Very Good,I,SI2,VG,VG,1.01,GIA,58.9,60.0,Medium,Very Small,2008-12-10,318.0,5.762051382780177,-1.1394342831883648
Round,0.33,Very Good,I,SI2,EX,VG,1.01,GIA,63.3,57.0,None,None,2008-12-10,319.0,5.765191102784844,-1.1086626245216111
Princess,0.23,Very Good,D,VS1,VG,VG,1.04,GIA,74.2,74.0,None,None,2008-12-17,321.0,5.771441123130016,-1.4696759700589417
Round,0.3,Very Good,I,VS2,VG,VG,1.01,GIA,60.7,60.0,Strong Blue,None,2008-12-10,321.0,5.771441123130016,-1.2039728043259361
Round,0.32,Very Good,I,SI2,EX,VG,1.01,GIA,63.4,57.0,None,None,2008-12-10,321.0,5.771441123130016,-1.1394342831883648
Emerald,0.23,Good,D,VS2,VG,G,1.46,GIA,57.5,70.0,None,None,2008-12-09,322.0,5.7745515455444085,-1.4696759700589417
Round,0.3,Ideal,G,SI2,EX,VG,1.01,GIA,62.1,57.0,None,None,2008-12-17,322.0,5.7745515455444085,-1.2039728043259361
Round,0.3,Ideal,H,SI2,VG,EX,1.01,GIA,61.5,56.0,None,None,2008-12-10,322.0,5.7745515455444085,-1.2039728043259361
Round,0.3,Very Good,I,SI1,VG,VG,1.0,GIA,62.7,57.0,None,None,2008-12-10,322.0,5.7745515455444085,-1.2039728043259361
Princess,0.23,Very Good,D,VS1,G,VG,1.04,GIA,68.7,73.0,None,None,2008-12-09,323.0,5.777652323222656,-1.4696759700589417
Round,0.33,Very Good,I,SI2,VG,G,1.01,GIA,58.6,63.0,None,None,2008-12-10,323.0,5.777652323222656,-1.1086626245216111
Round,0.28,Ideal,G,SI2,VG,EX,1.0,GIA,61.9,55.0,None,None,2008-12-10,324.0,5.780743515792329,-1.2729656758128873
Princess,0.23,Very Good,D,VS2,VG,G,1.03,GIA,72.1,73.0,None,None,2008-12-17,325.0,5.783825182329737,-1.4696759700589417
Round,0.26,Ideal,I,VVS2,EX,EX,1.01,GIA,61.7,56.0,Strong,None,2008-12-10,325.0,5.783825182329737,-1.3470736479666092
Round,0.31,Very Good,H,SI2,VG,VG,1.0,GIA,60.4,59.0,None,None,2008-12-11,325.0,5.783825182329737,-1.171182981502945
Emerald,0.23,Very Good,D,VS1,EX,VG,1.43,GIA,60.5,72.0,None,None,2008-12-09,326.0,5.786897381366708,-1.4696759700589417
Princess,0.32,Good,G,SI1,VG,VG,1.06,GIA,76.6,74.0,None,None,2008-12-10,326.0,5.786897381366708,-1.1394342831883648
Round,0.26,Ideal,I,VS1,EX,EX,1.01,GIA,61.5,56.0,Strong,None,2008-12-10,327.0,5.7899601708972535,-1.3470736479666092
Princess,0.3,Good,H,VS1,VG,G,1.04,GIA,78.0,69.0,None,None,2008-12-10,327.0,5.7899601708972535,-1.2039728043259361
Princess,0.3,Good,H,SI1,EX,VG,1.0,GIA,73.8,80.0,Faint,None,2008-12-11,327.0,5.7899601708972535,-1.2039728043259361
Round,0.3,Ideal,I,SI1,EX,EX,1.0,GIA,62.5,56.0,None,None,2008-12-17,327.0,5.7899601708972535,-1.2039728043259361
Princess,0.24,Good,D,VS1,VG,VG,1.01,GIA,60.5,72.0,None,None,2008-12-09,328.0,5.793013608384144,-1.4271163556401458
Princess,0.32,Good,D,SI2,VG,G,1.0,GIA,75.5,71.0,None,None,2008-12-09,333.0,5.808142489980444,-1.1394342831883648
Princess,0.23,Very Good,D,VS2,VG,VG,1.02,GIA,71.8,71.0,None,None,2008-12-17,338.0,5.823045895483019,-1.4696759700589417
Emerald,0.31,Fair,D,SI2,VG,VG,1.31,GIA,75.1,65.0,None,None,2008-12-10,338.0,5.823045895483019,-1.171182981502945
Princess,0.23,Good,G,VVS2,EX,G,1.02,GIA,59.7,73.0,Faint,None,2008-12-10,342.0,5.834810737062605,-1.4696759700589417
Princess,0.26,Very Good,D,SI1,EX,VG,1.04,GIA,74.1,72.0,None,None,2008-12-09,342.0,5.834810737062605,-1.3470736479666092
Emerald,0.28,Very Good,G,VS1,EX,VG,1.38,GIA,69.9,70.0,None,None,2008-12-10,342.0,5.834810737062605,-1.2729656758128873
Round,0.32,Ideal,G,SI2,EX,VG,1.0,GIA,61.7,56.0,None,None,2008-12-17,343.0,5.8377304471659395,-1.1394342831883648
Round,0.32,Ideal,G,SI2,VG,EX,1.0,GIA,61.7,56.0,None,None,2008-12-10,343.0,5.8377304471659395,-1.1394342831883648
Princess,0.31,Very Good,G,VS1,VG,VG,1.04,GIA,74.7,77.0,None,None,2008-12-10,344.0,5.840641657373398,-1.171182981502945
Round,0.23,Very Good,D,SI2,EX,VG,1.0,GIA,62.2,61.0,None,None,2008-12-09,346.0,5.846438775057725,-1.4696759700589417
Round,0.23,Very Good,D,SI2,VG,VG,1.01,GIA,60.5,65.0,None,None,2008-12-09,346.0,5.846438775057725,-1.4696759700589417
Round,0.23,Very Good,D,SI2,G,VG,1.01,GIA,62.3,57.0,None,None,2008-12-09,346.0,5.846438775057725,-1.4696759700589417
Round,0.23,Very Good,D,SI2,VG,G,1.01,GIA,63.3,56.0,None,None,2008-12-09,346.0,5.846438775057725,-1.4696759700589417
Emerald,0.26,Very Good,D,SI1,VG,G,1.32,GIA,64.8,70.0,None,None,2008-12-09,346.0,5.846438775057725,-1.3470736479666092
Princess,0.3,Very Good,D,SI1,VG,G,1.11,GIA,71.5,76.0,None,None,2008-12-09,346.0,5.846438775057725,-1.2039728043259361
Round,0.24,Good,G,SI1,VG,VG,1.01,GIA,62.9,63.0,None,None,2008-12-10,347.0,5.849324779946859,-1.4271163556401458
Round,0.24,Good,G,SI1,G,G,1.01,GIA,60.3,65.0,None,None,2008-12-10,347.0,5.849324779946859,-1.4271163556401458
Round,0.24,Good,G,SI1,VG,VG,1.01,GIA,61.3,63.0,None,None,2008-12-10,347.0,5.849324779946859,-1.4271163556401458
Round,0.31,Very Good,G,SI2,EX,EX,1.01,GIA,62.4,55.0,None,None,2008-12-10,347.0,5.849324779946859,-1.171182981502945
Round,0.23,Good,E,SI1,VG,G,1.01,GIA,61.6,65.0,None,None,2008-12-10,348.0,5.8522024797744745,-1.4696759700589417
Round,0.23,Good,E,SI1,VG,VG,1.01,GIA,63.5,64.0,Medium,None,2008-12-10,348.0,5.8522024797744745,-1.4696759700589417
Round,0.23,Ideal,E,SI1,VG,VG,1.01,GIA,61.1,60.0,None,None,2008-12-10,348.0,5.8522024797744745,-1.4696759700589417
Round,0.3,Very Good,G,VS2,VG,VG,1.0,GIA,62.4,58.0,Strong Blue,None,2008-12-12,348.0,5.8522024797744745,-1.2039728043259361
Round,0.3,Ideal,G,SI2,EX,VG,1.01,GIA,61.3,56.0,None,None,2008-12-10,349.0,5.855071922202427,-1.2039728043259361
Round,0.3,Ideal,G,SI2,EX,VG,1.01,GIA,60.4,56.0,None,None,2008-12-10,349.0,5.855071922202427,-1.2039728043259361
Round,0.23,Very Good,E,SI1,VG,VG,1.01,GIA,62.0,56.0,None,None,2008-12-10,350.0,5.857933154483459,-1.4696759700589417
Round,0.23,Very Good,E,SI1,VG,VG,1.01,GIA,60.5,60.0,None,None,2008-12-10,350.0,5.857933154483459,-1.4696759700589417
Round,0.23,Very Good,E,SI1,VG,VG,1.01,GIA,63.4,58.0,None,None,2008-12-10,350.0,5.857933154483459,-1.4696759700589417
Round,0.26,Very Good,G,SI1,EX,EX,1.0,GIA,61.3,57.0,None,None,2008-12-17,350.0,5.857933154483459,-1.3470736479666092
Round,0.26,Good,G,SI2,VG,VG,1.01,GIA,62.5,62.0,None,None,2008-12-10,351.0,5.860786223465865,-1.3470736479666092
Princess,0.27,Good,E,SI1,EX,G,1.02,GIA,59.5,71.0,None,None,2008-12-10,351.0,5.860786223465865,-1.3093333199837622
Round,0.3,Very Good,G,SI2,VG,VG,1.0,GIA,62.3,59.0,None,Very Small,2008-12-10,351.0,5.860786223465865,-1.2039728043259361
Princess,0.32,Very Good,G,SI1,EX,VG,1.01,GIA,73.9,75.0,None,None,2008-12-10,351.0,5.860786223465865,-1.1394342831883648
Round,0.23,Very Good,E,SI2,VG,VG,1.01,GIA,61.9,61.0,None,None,2008-12-10,352.0,5.863631175598097,-1.4696759700589417
Round,0.31,Ideal,G,SI2,EX,EX,1.01,GIA,61.9,57.0,None,None,2008-12-17,352.0,5.863631175598097,-1.171182981502945
Round,0.31,Ideal,G,SI2,EX,EX,1.0,GIA,61.6,56.0,None,None,2008-12-17,352.0,5.863631175598097,-1.171182981502945
Round,0.31,Ideal,G,SI2,EX,EX,1.0,GIA,61.5,56.0,Faint,None,2008-12-10,352.0,5.863631175598097,-1.171182981502945
Emerald,0.3,Very Good,E,VS2,VG,VG,1.28,GIA,60.6,71.0,None,None,2008-12-18,354.0,5.869296913133774,-1.2039728043259361
Round,0.3,Very Good,E,SI2,VG,G,1.02,GIA,61.0,57.0,None,None,2008-12-10,355.0,5.872117789475416,-1.2039728043259361
Princess,0.31,Very Good,E,SI1,EX,VG,1.05,GIA,66.8,76.0,None,None,2008-12-10,356.0,5.87493073085203,-1.171182981502945
Round,0.26,Ideal,E,SI2,EX,EX,1.0,GIA,61.0,56.0,Medium Blue,None,2008-12-10,357.0,5.877735781779639,-1.3470736479666092
Round,0.35,Very Good,H,SI1,VG,VG,1.01,GIA,63.5,56.0,None,None,2008-12-12,357.0,5.877735781779639,-1.0498221244986778
Round,0.31,Very Good,H,SI1,G,G,1.01,GIA,61.1,57.0,None,None,2008-12-10,358.0,5.8805329864007,-1.171182981502945
Princess,0.31,Very Good,E,SI1,VG,VG,1.01,GIA,74.5,60.0,None,None,2008-12-10,359.0,5.883322388488279,-1.171182981502945
Round,0.32,Very Good,E,SI2,EX,VG,1.02,GIA,59.6,61.0,Medium,None,2008-12-10,359.0,5.883322388488279,-1.1394342831883648
Princess,0.25,Very Good,E,SI1,G,G,1.0,GIA,69.2,69.0,None,None,2008-12-10,360.0,5.886104031450156,-1.3862943611198906
Princess,0.3,Good,H,VS1,VG,VG,1.03,GIA,77.2,75.0,None,None,2008-12-10,360.0,5.886104031450156,-1.2039728043259361
Round,0.35,Very Good,H,SI2,G,G,1.01,GIA,60.4,59.0,None,Small,2008-12-10,360.0,5.886104031450156,-1.0498221244986778
Princess,0.35,Very Good,E,SI1,G,G,1.06,GIA,68.7,77.0,None,None,2008-12-10,360.0,5.886104031450156,-1.0498221244986778
Round,0.26,Ideal,H,VS1,EX,EX,1.01,GIA,61.5,55.0,Strong,None,2008-12-10,361.0,5.8888779583328805,-1.3470736479666092
Round,0.26,Ideal,E,SI1,EX,EX,1.01,GIA,62.5,55.0,Strong,None,2008-12-10,361.0,5.8888779583328805,-1.3470736479666092
Round,0.3,Good,H,SI1,G,VG,1.0,GIA,61.1,61.0,None,None,2008-12-10,361.0,5.8888779583328805,-1.2039728043259361
Round,0.3,Ideal,H,SI1,EX,EX,1.0,GIA,62.4,55.0,None,None,2008-12-10,361.0,5.8888779583328805,-1.2039728043259361
Round,0.32,Very Good,H,SI2,G,G,1.0,GIA,62.7,58.0,None,None,2008-12-10,361.0,5.8888779583328805,-1.1394342831883648
Round,0.34,Ideal,H,SI2,VG,VG,1.01,GIA,61.0,58.0,None,None,2008-12-10,361.0,5.8888779583328805,-1.0788096613719298
Round,0.27,Ideal,H,SI1,VG,VG,1.02,GIA,60.5,61.0,None,Very Small,2008-12-10,362.0,5.8916442118257715,-1.3093333199837622
Round,0.27,Ideal,H,SI1,VG,VG,1.01,GIA,58.7,61.0,None,Small,2008-12-10,362.0,5.8916442118257715,-1.3093333199837622
Round,0.32,Ideal,H,SI2,EX,EX,1.01,GIA,61.5,55.0,None,None,2008-12-10,362.0,5.8916442118257715,-1.1394342831883648
Round,0.24,Good,E,SI1,G,G,1.01,GIA,63.3,60.0,None,None,2008-12-10,363.0,5.8944028342648505,-1.4271163556401458
Round,0.24,Good,E,SI1,G,VG,1.0,GIA,58.0,63.0,None,None,2008-12-10,363.0,5.8944028342648505,-1.4271163556401458
Round,0.27,Ideal,H,SI1,EX,EX,1.0,GIA,61.5,56.0,None,None,2008-12-10,363.0,5.8944028342648505,-1.3093333199837622
Round,0.27,Ideal,H,SI1,EX,EX,1.0,GIA,61.2,56.0,Faint,None,2008-12-10,363.0,5.8944028342648505,-1.3093333199837622
Round,0.27,Ideal,H,SI1,EX,EX,1.0,GIA,61.7,55.0,None,None,2008-12-10,363.0,5.8944028342648505,-1.3093333199837622
Round,0.27,Ideal,H,SI1,EX,EX,1.0,GIA,61.7,56.0,None,None,2008-12-10,363.0,5.8944028342648505,-1.3093333199837622
Round,0.27,Ideal,H,SI1,EX,EX,1.01,GIA,61.5,56.0,None,None,2008-12-10,363.0,5.8944028342648505,-1.3093333199837622
Round,0.31,Ideal,H,SI2,ID,ID,1.0,AGSL,61.8,56.0,None,None,2008-12-10,363.0,5.8944028342648505,-1.171182981502945
Round,0.27,Very Good,H,SI2,VG,G,1.0,GIA,61.4,62.0,None,None,2008-12-10,364.0,5.8971538676367405,-1.3093333199837622
Round,0.34,Very Good,H,SI2,VG,G,1.0,GIA,62.6,58.0,None,None,2008-12-10,364.0,5.8971538676367405,-1.0788096613719298
Round,0.23,Very Good,D,SI1,G,VG,1.01,GIA,62.8,60.0,None,Very Small,2008-12-09,365.0,5.8998973535824915,-1.4696759700589417
Round,0.23,Very Good,D,SI1,EX,VG,1.01,GIA,63.0,62.0,Medium,None,2008-12-09,365.0,5.8998973535824915,-1.4696759700589417
Round,0.23,Good,D,SI1,G,VG,1.01,GIA,59.8,64.0,None,None,2008-12-09,365.0,5.8998973535824915,-1.4696759700589417
Round,0.23,Good,D,SI1,VG,VG,1.02,GIA,62.0,62.0,Medium,None,2008-12-09,365.0,5.8998973535824915,-1.4696759700589417
Round,0.23,Good,D,SI1,G,VG,1.0,GIA,58.4,58.0,None,Very Small,2008-12-09,365.0,5.8998973535824915,-1.4696759700589417
Round,0.23,Ideal,D,SI1,VG,VG,1.01,GIA,59.8,60.0,Faint,None,2008-12-09,365.0,5.8998973535824915,-1.4696759700589417
Round,0.23,Good,D,SI1,VG,VG,1.02,GIA,66.2,56.0,None,None,2008-12-09,365.0,5.8998973535824915,-1.4696759700589417
Round,0.23,Good,D,SI1,G,VG,1.01,GIA,64.8,57.0,Medium,None,2008-12-09,365.0,5.8998973535824915,-1.4696759700589417
Round,0.23,Good,D,SI1,VG,VG,1.01,GIA,60.2,59.0,None,None,2008-12-09,365.0,5.8998973535824915,-1.4696759700589417
Round,0.23,Ideal,D,SI1,VG,VG,1.01,GIA,58.6,60.0,None,None,2008-12-09,365.0,5.8998973535824915,-1.4696759700589417
Round,0.23,Good,D,SI1,G,VG,1.01,GIA,64.6,58.0,None,None,2008-12-09,365.0,5.8998973535824915,-1.4696759700589417
Round,0.23,Ideal,G,VS2,VG,EX,1.01,GIA,61.9,54.0,None,None,2008-12-10,366.0,5.902633333401366,-1.4696759700589417
Round,0.23,Ideal,G,VS2,VG,EX,1.01,GIA,61.5,57.0,None,None,2008-12-10,366.0,5.902633333401366,-1.4696759700589417
Round,0.23,Ideal,G,VS2,EX,VG,1.01,GIA,61.5,56.0,None,None,2008-12-10,366.0,5.902633333401366,-1.4696759700589417
Round,0.23,Ideal,G,VS2,EX,EX,1.01,GIA,61.4,55.0,None,None,2008-12-10,366.0,5.902633333401366,-1.4696759700589417
Princess,0.23,Very Good,D,VVS2,VG,G,1.08,GIA,67.3,69.0,None,None,2008-12-09,366.0,5.902633333401366,-1.4696759700589417
Round,0.3,Very Good,D,SI2,EX,EX,1.01,GIA,63.1,56.0,None,None,2008-12-16,366.0,5.902633333401366,-1.2039728043259361
Princess,0.31,Very Good,G,SI1,EX,VG,1.02,GIA,72.8,73.0,None,None,2008-12-11,366.0,5.902633333401366,-1.171182981502945
Princess,0.31,Very Good,G,SI1,EX,G,1.02,GIA,71.9,71.0,None,None,2008-12-11,366.0,5.902633333401366,-1.171182981502945
Emerald,0.27,Fair,D,VVS2,G,VG,1.32,GIA,58.4,78.0,None,None,2008-12-09,367.0,5.905361848054571,-1.3093333199837622
Round,0.31,Very Good,G,SI2,ID,ID,1.01,AGSL,61.7,55.0,None,Pointed,2008-12-10,367.0,5.905361848054571,-1.171182981502945
Round,0.31,Ideal,G,SI2,EX,VG,1.01,GIA,61.0,55.0,None,None,2008-12-10,367.0,5.905361848054571,-1.171182981502945
Round,0.31,Ideal,G,SI2,VG,VG,1.01,GIA,62.3,58.0,Medium,None,2008-12-10,367.0,5.905361848054571,-1.171182981502945
Princess,0.31,Good,G,VVS2,VG,G,1.03,GIA,71.4,79.0,None,None,2008-12-10,367.0,5.905361848054571,-1.171182981502945
Round,0.33,Ideal,G,SI2,VG,VG,1.01,GIA,61.8,56.0,None,None,2008-12-10,367.0,5.905361848054571,-1.1086626245216111
Princess,0.33,Good,D,SI2,EX,G,1.02,GIA,79.0,78.0,Medium Blue,None,2008-12-10,367.0,5.905361848054571,-1.1086626245216111
Princess,0.24,Good,G,VS1,VG,VG,1.02,GIA,67.4,80.0,None,None,2008-12-10,368.0,5.908082938168931,-1.4271163556401458
Emerald,0.25,Very Good,D,VS1,VG,VG,1.49,GIA,65.0,69.0,None,None,2008-12-17,368.0,5.908082938168931,-1.3862943611198906
Emerald,0.26,Very Good,D,VS2,VG,G,1.36,GIA,66.5,63.0,Medium,None,2008-12-09,368.0,5.908082938168931,-1.3470736479666092
Round,0.32,Very Good,G,SI2,VG,VG,1.01,GIA,60.0,59.0,None,None,2008-12-10,368.0,5.908082938168931,-1.1394342831883648
Round,0.33,Ideal,G,SI2,VG,VG,1.0,GIA,62.8,56.0,None,None,2008-12-11,368.0,5.908082938168931,-1.1086626245216111
Round,0.33,Very Good,G,SI2,G,VG,1.01,GIA,59.0,61.0,None,None,2008-12-11,368.0,5.908082938168931,-1.1086626245216111
Round,0.33,Very Good,G,SI2,VG,G,1.0,GIA,62.5,59.0,None,None,2008-12-11,368.0,5.908082938168931,-1.1086626245216111
Round,0.33,Very Good,G,SI2,G,VG,1.01,GIA,62.4,59.0,None,None,2008-12-10,368.0,5.908082938168931,-1.1086626245216111
Princess,0.33,Very Good,G,SI1,EX,VG,1.04,GIA,72.2,72.0,None,None,2008-12-11,369.0,5.910796644040527,-1.1086626245216111
Princess,0.34,Good,G,VS2,G,G,1.03,GIA,76.5,71.0,None,None,2008-12-10,369.0,5.910796644040527,-1.0788096613719298
Round,0.26,Ideal,D,SI2,EX,VG,1.0,GIA,61.7,55.0,None,None,2008-12-09,370.0,5.91350300563827,-1.3470736479666092
Round,0.29,Ideal,F,SI2,EX,EX,1.0,GIA,61.0,56.0,None,None,2008-12-10,371.0,5.916202062607435,-1.2378743560016174
Round,0.33,Good,F,SI2,VG,VG,1.01,GIA,59.2,59.0,None,None,2008-12-10,371.0,5.916202062607435,-1.1086626245216111
Round,0.26,Good,F,SI2,VG,VG,1.01,GIA,60.7,64.0,None,None,2008-12-10,372.0,5.918893854273146,-1.3470736479666092
Round,0.26,Very Good,F,SI2,G,VG,1.01,GIA,63.5,57.0,Faint,None,2008-12-10,372.0,5.918893854273146,-1.3470736479666092
Round,0.26,Ideal,D,SI2,EX,EX,1.0,GIA,61.6,56.0,None,None,2008-12-09,373.0,5.921578419643816,-1.3470736479666092
Princess,0.34,Good,D,SI1,VG,G,1.03,GIA,77.4,71.0,None,None,2008-12-09,373.0,5.921578419643816,-1.0788096613719298
Princess,0.26,Good,F,VS2,VG,G,1.03,GIA,76.0,78.0,None,None,2008-12-10,374.0,5.924255797414532,-1.3470736479666092
Round,0.26,Ideal,F,SI1,VG,VG,1.01,GIA,62.2,55.0,None,None,2008-12-10,374.0,5.924255797414532,-1.3470736479666092
Round,0.26,Ideal,F,SI1,EX,VG,1.0,GIA,60.6,57.0,Medium,None,2008-12-10,374.0,5.924255797414532,-1.3470736479666092
Round,0.26,Very Good,F,SI1,G,VG,1.01,GIA,61.6,62.0,None,None,2008-12-10,374.0,5.924255797414532,-1.3470736479666092
Round,0.26,Good,F,SI1,VG,VG,1.0,GIA,62.7,63.0,None,None,2008-12-10,374.0,5.924255797414532,-1.3470736479666092
Round,0.26,Good,F,SI1,VG,G,1.01,GIA,62.4,64.0,Medium,None,2008-12-10,374.0,5.924255797414532,-1.3470736479666092
Round,0.26,Ideal,F,SI1,VG,VG,1.01,GIA,62.1,54.0,None,None,2008-12-10,374.0,5.924255797414532,-1.3470736479666092
Princess,0.31,Good,H,VS1,G,VG,1.0,GIA,67.4,79.0,None,None,2008-12-10,374.0,5.924255797414532,-1.171182981502945
Princess,0.32,Very Good,F,SI1,G,G,1.01,GIA,74.0,72.0,Strong Blue,None,2008-12-10,374.0,5.924255797414532,-1.1394342831883648
Princess,0.25,Good,F,VS1,G,G,1.0,GIA,79.1,67.0,None,None,2008-12-10,375.0,5.926926025970411,-1.3862943611198906
Round,0.31,Good,H,SI1,VG,VG,1.01,GIA,58.3,62.0,Medium,None,2008-12-10,375.0,5.926926025970411,-1.171182981502945
Round,0.31,Very Good,H,SI1,VG,VG,1.01,GIA,63.2,57.0,Medium,None,2008-12-10,375.0,5.926926025970411,-1.171182981502945
Round,0.28,Ideal,H,SI1,EX,EX,1.01,GIA,61.2,57.0,None,None,2008-12-10,376.0,5.929589143389895,-1.2729656758128873
